Driver,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
Donald Harper,49,0,2,2,375.06,-375.06,-100.0
Mitch Turnbull,31,0,4,2,234.02,-234.02,-100.0
Mason Bigeni,24,0,2,2,139.03,-139.03,-100.0
KerryAnn Morris,23,0,1,3,186.13,-186.13,-100.0
Darcy Kulcsar,21,0,4,1,149.35999999999996,-149.35999999999996,-100.0
Lauren Harper,20,0,0,0,114.19999999999999,-114.19999999999999,-100.0
Glenn McElhinney,19,0,1,2,81.19,-81.19,-100.0
Michael Stanley,19,0,2,0,235.04999999999998,-235.04999999999998,-100.0
Sean O'Sullivan,19,0,4,4,293.12,-293.12,-100.0
Gary Pekin,18,0,3,1,153.74999999999997,-153.74999999999997,-100.0
Jason Turnbull,18,0,1,1,60.63,-60.63,-100.0
Leilani Justice,18,0,1,1,129.21,-129.21,-100.0
Lola Weidemann,18,0,2,1,117.61,-117.61,-100.0
Darren McCall,17,0,3,1,71.55,-71.55,-100.0
Damon Watson,16,0,1,1,151.43,-151.43,-100.0
Gaita Pullicino,16,0,3,0,219.45000000000002,-219.45000000000002,-100.0
Jamie Rigoli,16,0,2,0,59.739999999999995,-59.739999999999995,-100.0
Sara Grout,16,0,1,2,157.15999999999997,-157.15999999999997,-100.0
Anne-Maree Conroy,15,0,4,4,124.08,-124.08,-100.0
Caitlin McElhinney,15,0,1,3,86.77999999999999,-86.77999999999999,-100.0
Tony Pullicino,15,0,1,0,55.39999999999999,-55.39999999999999,-100.0
Matt Crone,14,0,2,0,70.99000000000001,-70.99000000000001,-100.0
Anthony Varga,13,0,0,0,102.46000000000001,-102.46000000000001,-100.0
Brent Howard,13,0,0,1,64.50999999999999,-64.50999999999999,-100.0
Dan Morgan,13,0,3,0,105.25999999999999,-105.25999999999999,-100.0
Holly Chalmers,13,0,1,2,112.64,-112.64,-100.0
Noel Parrish,13,0,0,2,68.88999999999999,-68.88999999999999,-100.0
Greg Andrews,12,0,0,0,68.25999999999999,-68.25999999999999,-100.0
Kylie Hughes,12,0,0,0,22.669999999999998,-22.669999999999998,-100.0
Terry Brown,12,0,1,2,60.669999999999995,-60.669999999999995,-100.0
Brett Shipway,11,0,1,1,51.91,-51.91,-100.0
Corey Bell,11,0,2,0,71.28,-71.28,-100.0
Elley-May Adams,11,0,1,0,22.26,-22.26,-100.0
Hayden Charles,11,0,1,1,42.959999999999994,-42.959999999999994,-100.0
Michael Towers,11,0,1,1,43.400000000000006,-43.400000000000006,-100.0
Ricky Duggan,11,0,1,0,32.14,-32.14,-100.0
Tayla French,11,0,1,3,109.78999999999999,-109.78999999999999,-100.0
Briana Edman,10,0,2,1,55.02,-55.02,-100.0
James Kennedy,10,0,0,1,26.06,-26.06,-100.0
Joe Taaffe,10,0,0,0,35.5,-35.5,-100.0
Joey Sharp,10,0,0,1,54.720000000000006,-54.720000000000006,-100.0
Megan Worthington,10,0,0,0,49.08,-49.08,-100.0
Nick Youngson,10,0,1,0,19.05,-19.05,-100.0
Peter Jnr Green,10,0,0,0,58.69,-58.69,-100.0
Rita Burnett,10,0,2,0,51.589999999999996,-51.589999999999996,-100.0
Scott Torney,10,0,0,0,25.990000000000002,-25.990000000000002,-100.0
Luke Sutherland,45,1,5,4,413.03000000000003,-313.03,-75.788683630729
David Smith,39,1,5,6,452.92999999999995,-352.92999999999995,-77.92153312873954
Ryan Backhouse,34,1,1,2,265.08,-165.07999999999996,-62.27553945978571
Zac Chappenden,33,1,0,1,180.21,-80.21000000000001,-44.50918373009267
Mathew Neilson,32,1,3,2,222.9,-122.9,-55.13683266038583
Amanda Turnbull,31,1,2,6,348.12,-248.11999999999998,-71.27427323911294
Jacob Duggan,28,1,6,5,224.95999999999998,-124.95999999999998,-55.547652916073964
Callan Suvaljko,26,1,3,2,175.29999999999998,-75.30000000000001,-42.95493439817457
Jack Stockton,26,1,0,2,348.18,-248.18,-71.27922339020047
Jim Douglass,26,1,3,1,193.33999999999997,-93.33999999999999,-48.27764559842764
Mikayla Towers,26,1,2,2,175.16,-75.16,-42.909340031970764
Mitch Cox,22,1,3,7,269.59000000000003,-169.59,-62.90663600281909
Owen Shea,20,1,3,2,107.57999999999998,-7.579999999999983,-7.045919315857951
Tiana McMahon,19,1,3,2,121.57,-21.56999999999999,-17.742864193468776
Brent Murphy,17,1,3,0,150.76,-50.76,-33.66940833112231
Jake Davis,17,1,2,0,153.01999999999998,-53.019999999999996,-34.649065481636384
Kayleb Williams,17,1,1,4,122.36,-22.360000000000007,-18.273945733899975
Anthony Gorman,15,1,2,4,97.71,2.2899999999999934,2.3436700440077716
Clint Sneddon,15,1,1,1,68.62,31.380000000000003,45.73010784027981
Cody Wallrodt,15,1,1,1,122.03999999999999,-22.039999999999992,-18.059652572926904
Klayton Bigeni,15,1,1,0,121.18999999999998,-21.189999999999994,-17.484941001732814
Ada Massa,14,1,1,0,62.53,37.47,59.92323684631376
Blake Pace,14,1,4,2,255.95,-155.95,-60.92986911506153
Dean Cernovskis,14,1,2,1,141.33999999999997,-41.33999999999999,-29.248620348096786
Lauren White,14,1,2,1,136.59,-36.589999999999996,-26.788198257559117
Luke Watson,14,1,1,0,126.53999999999998,-26.539999999999985,-20.97360518413149
Paula Sapio,14,1,1,2,89.58,10.420000000000012,11.632060727841049
Sebastian Piltz,14,1,3,3,98.92999999999999,1.0700000000000058,1.0815728292732296
Shane Steele,14,1,0,1,56.90999999999999,43.09000000000001,75.71604287471449
Ashleigh Markham,13,1,0,0,77.15,22.849999999999994,29.617627997407638
Jake Bigeni,13,1,1,3,95.1,4.9000000000000075,5.15247108307046
Jason Ainsworth,13,1,0,1,138.0,-37.99999999999999,-27.536231884057965
Kirra Langelaar,13,1,0,0,105.24000000000001,-5.239999999999999,-4.979095400988216
Nathan Turnbull,13,1,1,1,98.02000000000001,1.9799999999999898,2.0199959192001526
Dean Chapple,12,1,2,2,114.00000000000001,-14.000000000000004,-12.280701754385968
Jayson Finnis,12,1,0,1,59.8,40.2,67.22408026755853
Kathy Watson,12,1,1,1,72.74999999999999,27.250000000000004,37.45704467353953
Angela Hurst,11,1,1,2,94.00999999999999,5.990000000000002,6.37166258908627
Ashley Ainsworth,11,1,1,0,83.06,16.939999999999994,20.39489525644112
Bronte Miller,11,1,0,0,157.92,-57.91999999999999,-36.67679837892604
Chris Svanosio,11,1,2,0,131.88,-31.880000000000003,-24.173491052471945
Grace Jones,11,1,0,3,98.46000000000001,1.5399999999999991,1.5640869388584187
David Stewart,10,1,0,0,67.85,32.150000000000006,47.38393515106855
Gary Whitaker,10,1,0,0,81.7,18.299999999999997,22.399020807833534
Jason Hewitt,10,1,2,2,186.39,-86.38999999999999,-46.349053060786524
Shane Hallcroft,10,1,1,0,53.57,46.43000000000001,86.67164457718873
Lachlan Kennelly,41,2,4,7,431.65999999999997,-231.66,-53.66723810406339
Blake Micallef,38,2,3,7,457.03000000000003,-257.03000000000003,-56.239196551648696
Gareth Rattray,38,2,3,3,209.42999999999998,-9.429999999999996,-4.502697798787183
Blake Fitzpatrick,35,2,7,5,260.29999999999995,-60.29999999999998,-23.1655781790242
Jordan Leedham,34,2,0,4,319.92999999999995,-119.93,-37.48632513362299
Jason Kittel,28,2,2,3,231.62,-31.61999999999999,-13.651670840169238
Kate Gath,26,2,6,2,462.50000000000006,-262.5,-56.75675675675676
Tristan Larsen,26,2,1,3,216.64000000000001,-16.64000000000003,-7.680945347119658
Lleyton Green,24,2,2,2,331.57,-131.57,-39.68091202461019
Alanah Richardson,23,2,5,1,354.50000000000006,-154.5,-43.58251057827926
