Driver,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
Luke Watson,100,1,6,6,624.4300000000001,-524.4300000000001,-83.98539467994812
Damon Watson,100,1,8,9,877.45,-777.45,-88.60333922160807
Rod Barker,100,1,9,7,439.55000000000007,-339.5500000000001,-77.24945967466729
Trent Wheeler,100,1,11,15,719.9399999999999,-619.9399999999999,-86.10995360724505
Anthony Varga,100,1,12,13,1053.5700000000002,-953.57,-90.50846170638874
Tony Pullicino,100,1,12,13,746.9200000000001,-646.9200000000001,-86.6116853210518
Darren McCall,100,1,18,16,805.35,-705.35,-87.58303843049606
Zac Chappenden,100,2,3,6,539.6800000000002,-339.67999999999995,-62.94100207530386
Jason Turnbull,100,2,4,8,521.9099999999999,-321.90999999999997,-61.67921672318983
Glenn McElhinney,100,2,5,7,423.19,-223.18999999999997,-52.73990406200524
Nicholas Brown,100,2,6,4,373.23,-173.23,-46.413739517187786
Ky Bloomfield,100,2,6,9,723.0000000000001,-523.0000000000001,-72.33748271092671
Dean Miller,100,2,7,11,749.4399999999999,-549.4399999999999,-73.31340734415029
Luke Alcorn,100,2,9,5,577.91,-377.90999999999997,-65.39253516983614
Dayl March,100,2,9,11,829.4899999999999,-629.4899999999999,-75.88879914164124
Ricky Duggan,100,2,9,11,555.47,-355.46999999999997,-63.99445514609249
Jamie Rigoli,100,2,9,12,625.5600000000001,-425.55999999999995,-68.02864633288573
Noel Parrish,100,3,2,8,346.95,-46.94999999999995,-13.532209252053597
Ricky Gordon,100,3,3,9,469.34999999999997,-169.35,-36.08181527644615
Chris Walsh,100,3,4,4,354.38,-54.37999999999997,-15.345109769174323
Jason Kittel,100,3,4,10,645.25,-345.25000000000006,-53.50639287098025
Jonah Hutchinson,100,3,4,13,601.8599999999999,-301.8599999999999,-50.15452098494666
Briana Edman,100,3,5,4,494.14,-194.13999999999996,-39.288460760108464
Lauren White,100,3,5,17,927.13,-627.13,-67.64207824145481
Tom Nally,100,3,6,4,774.79,-474.78999999999996,-61.279830663792765
Mitch Turnbull,100,3,7,5,863.8599999999998,-563.8599999999998,-65.27215057995508
Graham Betts,100,3,7,8,398.8,-98.79999999999995,-24.77432296890671
Jeremy Quinlan,100,3,7,9,520.78,-220.78,-42.394101155958374
Jacob Duggan,100,3,8,13,700.6999999999999,-400.69999999999993,-57.18567147138576
George Lee,100,3,9,4,1053.38,-753.3800000000001,-71.52024910288785
Ryan Backhouse,100,3,9,6,808.8900000000001,-508.89000000000004,-62.91213885695212
Charli Masotti,100,3,10,7,913.47,-613.47,-67.15819895563074
Brian Portelli,100,3,10,10,912.6099999999998,-612.6099999999999,-67.12725041364878
Owen Shea,100,3,10,10,918.15,-618.15,-67.3256003920928
Kathy Watson,100,3,11,11,729.33,-429.33,-58.86635679322117
James Locke,100,3,11,13,1244.27,-944.27,-75.88947736423766
Kayleb Williams,100,3,15,11,719.2200000000001,-419.22,-58.288145490948516
Callan Suvaljko,100,4,3,6,535.8299999999999,-135.82999999999996,-25.349457850437634
Clint Sneddon,100,4,4,6,483.87000000000006,-83.86999999999998,-17.333167999669325
Matt Crone,100,4,4,11,595.08,-195.0799999999999,-32.782146938226774
Sarah Rushbrook,100,4,5,10,627.0900000000001,-227.08999999999997,-36.213302715718626
Jordan Topping,100,4,6,10,934.5199999999999,-534.5199999999999,-57.19727774686469
Rory Coverdale,100,4,6,14,832.7799999999999,-432.7799999999999,-51.96810682293042
Sam Ison,100,4,8,7,687.1099999999999,-287.11,-41.785158126064246
Ross Graham,100,4,8,10,700.9899999999999,-300.99000000000007,-42.93784504771824
Cody Wallrodt,100,4,9,6,696.2599999999999,-296.26,-42.55019676557608
Emma Turnbull,100,4,9,9,755.0300000000001,-355.03000000000003,-47.021972636848865
KerryAnn Morris,100,4,10,10,820.4399999999998,-420.43999999999994,-51.2456730534835
Dan Morgan,100,4,10,11,601.3700000000001,-201.36999999999998,-33.485208773300954
Jim Douglass,100,4,11,8,589.8199999999999,-189.81999999999988,-32.18269980672068
