Trainer,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
Matthew Scott,59,0,3,6,466.8,-466.8,-100.0
Nathan Hurst,34,0,6,5,253.76,-253.76,-100.0
"D A McDowell, K L McDowell",32,0,4,2,338.57000000000005,-338.57000000000005,-100.0
Lane Johnson,30,0,5,3,251.18999999999994,-251.18999999999994,-100.0
Daniel Tucker,27,0,0,2,61.599999999999994,-61.599999999999994,-100.0
Mat Wright,25,0,2,0,108.28000000000002,-108.28000000000002,-100.0
Wendy Turnbull,25,0,2,2,190.45999999999998,-190.45999999999998,-100.0
Paul Fitzpatrick,25,0,3,5,299.54,-299.54,-100.0
Brad Abbott,24,0,1,4,154.0,-154.0,-100.0
Clayton Harmey,21,0,4,2,368.38,-368.38,-100.0
Michael Towers,20,0,1,1,168.4,-168.4,-100.0
Michael Jnr Day,20,0,3,1,106.82999999999998,-106.82999999999998,-100.0
Anthony Gorman,20,0,3,2,248.93,-248.93,-100.0
Cassandra O'Brien,18,0,1,1,164.62,-164.62,-100.0
Stewart Dickson,18,0,3,0,156.57999999999998,-156.57999999999998,-100.0
Matthew Clayton,17,0,1,4,228.83,-228.83,-100.0
Donald Harper,17,0,2,1,207.22,-207.22,-100.0
Phoebe Betts,16,0,0,1,76.42,-76.42,-100.0
Jenny Anderson,16,0,1,1,82.16,-82.16,-100.0
Terry Dymock,16,0,1,3,71.87,-71.87,-100.0
Trent Moffat,16,0,2,2,151.86,-151.86,-100.0
Claire Goble,16,0,3,2,118.48,-118.48,-100.0
Jayne Davies,16,0,4,3,260.73,-260.73,-100.0
Kevin Charles,15,0,0,2,101.61999999999998,-101.61999999999998,-100.0
Dean Cernovskis,15,0,4,1,188.48000000000002,-188.48000000000002,-100.0
Julie Mifsud,14,0,2,0,92.17,-92.17,-100.0
Corey Bell,13,0,2,0,144.95999999999998,-144.95999999999998,-100.0
Donna Castles,13,0,2,1,169.61,-169.61,-100.0
Tyrone Abela,13,0,2,3,149.75,-149.75,-100.0
Joe Conolly,12,0,0,0,94.45,-94.45,-100.0
Brett Cole,12,0,0,1,132.14000000000001,-132.14000000000001,-100.0
Mark Roberts,12,0,0,1,116.32,-116.32,-100.0
Faye McEwan,12,0,0,3,80.55999999999999,-80.55999999999999,-100.0
Ray Holberton,12,0,0,4,123.11999999999999,-123.11999999999999,-100.0
Geoffrey Smith,12,0,1,0,91.56999999999998,-91.56999999999998,-100.0
Geoff Dawson,12,0,1,1,59.05,-59.05,-100.0
Chloe Butler,12,0,1,3,83.19999999999999,-83.19999999999999,-100.0
Jason Ainsworth,11,0,0,2,77.25999999999999,-77.25999999999999,-100.0
David Stewart,11,0,0,3,150.2,-150.2,-100.0
Debra Lewis,11,0,1,2,152.45999999999998,-152.45999999999998,-100.0
Merv Cox,11,0,2,0,104.28999999999999,-104.28999999999999,-100.0
Phillip Westbury,11,0,2,0,67.28,-67.28,-100.0
"T K Gange, J G Allan-Gange",11,0,2,1,179.73000000000002,-179.73000000000002,-100.0
Bailey McDonough,11,0,2,2,162.01,-162.01,-100.0
Kaden Elliott,11,0,3,0,123.85,-123.85,-100.0
Stephen Boyington,11,0,4,0,113.89999999999999,-113.89999999999999,-100.0
Brett Woodhouse,10,0,0,0,73.55,-73.55,-100.0
Dennis Dale,10,0,0,0,21.119999999999997,-21.119999999999997,-100.0
Michael Xuereb,10,0,0,0,53.19,-53.19,-100.0
Vince Vallelonga,10,0,0,0,13.34,-13.34,-100.0
Cody Wallrodt,10,0,0,1,86.02999999999999,-86.02999999999999,-100.0
John Meade,10,0,0,1,41.959999999999994,-41.959999999999994,-100.0
Michael Mannix,10,0,0,2,58.919999999999995,-58.919999999999995,-100.0
Geoffrey Scott,10,0,1,0,73.56,-73.56,-100.0
Cameron Maggs,10,0,1,1,103.85999999999999,-103.85999999999999,-100.0
Jodi Quinlan,10,0,1,1,118.83999999999999,-118.83999999999999,-100.0
Mike Williams,10,0,1,1,133.28999999999996,-133.28999999999996,-100.0
Scott Garraway,10,0,1,1,38.42,-38.42,-100.0
Chris Frisby,10,0,1,2,155.89000000000001,-155.89000000000001,-100.0
Leah Holman,10,0,1,2,46.63,-46.63,-100.0
"M J Schrader, B L Smith",10,0,1,4,159.01,-159.01,-100.0
Robert Nolan,10,0,2,3,139.29999999999998,-139.29999999999998,-100.0
Kevin Pizzuto,40,1,6,5,569.64,-469.64,-82.44505301593989
Matt Elkins,29,1,9,2,474.21000000000004,-374.21000000000004,-78.91229624006242
Craig Hynam,28,1,3,1,201.53,-101.53,-50.37959608991217
Kevin Weidenbach,26,1,4,2,288.83,-188.82999999999998,-65.37755773292247
Reece Moore,25,1,2,2,330.54,-230.54000000000002,-69.7464754643916
Maryann White,25,1,7,6,593.48,-493.48,-83.15023252679113
Jamie Donovan,24,1,4,3,317.48,-217.48,-68.5019528789215
Alanah Richardson,23,1,5,1,295.96000000000004,-195.96,-66.2116502230031
Chris Walsh,22,1,0,1,106.87,-6.869999999999983,-6.428370917937665
Adrian Duggan,22,1,0,2,302.97999999999996,-202.97999999999996,-66.99452109050101
Dan Russell,22,1,1,3,189.49999999999997,-89.5,-47.22955145118734
Jim Barker,22,1,2,2,238.27999999999997,-138.27999999999997,-58.032566728218896
John Justice,21,1,1,2,273.46999999999997,-173.47000000000003,-63.432917687497735
Matt Crone,21,1,2,2,152.35,-52.34999999999999,-34.361667213652765
Ian Wilson,20,1,0,6,102.95,-2.950000000000011,-2.8654686741136577
Nigel Johns,20,1,2,2,153.21,-53.209999999999994,-34.73010900071796
Mitch Turnbull,20,1,2,3,168.36999999999998,-68.37,-40.6069964958128
Ella Brechin,20,1,3,1,281.67,-181.67000000000002,-64.49746156850215
Richard Hutchinson,20,1,5,2,253.98000000000002,-153.98000000000002,-60.62682100952831
David Rodger,19,1,3,1,274.21,-174.20999999999998,-63.53159986871376
Peter Bullock,19,1,6,2,293.9599999999999,-193.95999999999998,-65.98176622669753
Wayne Justins,18,1,0,2,152.66,-52.66000000000001,-34.4949561116206
Ashleigh Delosa,18,1,2,2,193.85,-93.85,-48.41372194996131
Charlie Chiang,18,1,2,2,227.42999999999998,-127.42999999999999,-56.03042694455437
Chris Watson,18,1,3,1,175.97999999999996,-75.98000000000002,-43.17536083645871
Corey Parker,16,1,2,4,286.07000000000005,-186.07000000000002,-65.04352081658334
George Duncan,16,1,3,1,328.7,-228.7,-69.5771219957408
Jemma Hayman,15,1,0,0,225.12999999999997,-125.12999999999998,-55.58121973970594
Paul Weidenbach,15,1,0,4,91.83999999999999,8.159999999999998,8.885017421602786
Shane Graham,15,1,2,0,191.14000000000001,-91.14,-47.68232709009103
Dale Afford,15,1,2,4,175.43999999999997,-75.43999999999998,-43.00045599635203
Peter Trefort,15,1,3,0,142.16,-42.160000000000004,-29.656724817107488
Dianne Giles,15,1,3,1,121.69000000000001,-21.689999999999998,-17.82397896293861
Trent Dawson,15,1,3,1,204.69,-104.69000000000001,-51.145634862474964
Courtney Slater,14,1,1,2,166.72,-66.72,-40.019193857965455
Amy Cargill,13,1,0,1,172.94999999999996,-72.95,-42.17982075744436
Anthony Missen,13,1,0,2,147.48,-47.48,-32.19419582316247
Mark Dux,13,1,0,3,80.53999999999999,19.46,24.16190712689347
Robert Abercromby,13,1,1,0,101.41,-1.4099999999999984,-1.3903954245143462
Kristie O'Sullivan,13,1,1,3,135.31,-35.31000000000001,-26.095632251866093
Nathan Rothwell,13,1,1,3,218.65999999999997,-118.66,-54.266898381048215
Bob Mellsop,13,1,2,2,253.45999999999998,-153.45999999999998,-60.546042768089634
John Boserio,13,1,2,2,204.68999999999997,-104.69000000000001,-51.14563486247498
Denis Maricic,13,1,2,3,220.90999999999997,-120.91,-54.73269657326514
Sarah Wall,13,1,3,3,301.08,-201.07999999999998,-66.78623621628803
Sonia Zucchiatti,12,1,0,0,128.33,-28.329999999999995,-22.075898075274676
Stephen Cini,12,1,1,0,136.45999999999998,-36.46,-26.718452293712446
Bruce Fox,12,1,1,1,101.73000000000002,-1.7299999999999969,-1.7005799665781938
Nick Tardio,12,1,1,2,198.04000000000002,-98.04000000000002,-49.505150474651586
Shawn Grimsey,12,1,2,2,212.17,-112.16999999999999,-52.86798322100202
Billy Weidenbach,12,1,3,1,164.79,-64.78999999999999,-39.316706110807694
Nathan Turvey,11,1,0,1,143.84,-43.839999999999996,-30.478309232480534
Simon Locke,11,1,0,1,102.65999999999998,-2.660000000000005,-2.591077342684595
Doug Lee,11,1,0,2,99.92,0.08000000000000673,0.08006405124099954
Brian Wheeler,11,1,1,1,138.6,-38.599999999999994,-27.849927849927848
Danny Weinert,11,1,1,1,101.12999999999998,-1.1300000000000132,-1.1173736774448864
Gary Hargraves,11,1,1,1,97.6,2.399999999999994,2.459016393442617
Graham White,11,1,1,1,64.78999999999999,35.21,54.3448062972681
Luke Edwards,11,1,2,1,189.68999999999997,-89.69,-47.282408139596185
Michael Gadsden,11,1,2,3,169.03,-69.03,-40.838904336508314
Phil Costello,10,1,0,1,86.58,13.420000000000002,15.500115500115502
Sandra O'Connor,10,1,1,0,161.85999999999999,-61.86,-38.218213270727794
Peter Keogh,10,1,1,2,130.60000000000002,-30.6,-23.43032159264931
