Trainer,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
D G Tucker,100,2,5,9,523.26,-323.26000000000005,-61.77808355310936
J P Quinlan,100,2,8,8,511.0799999999999,-311.0799999999999,-60.867183219848165
P A Morgan,100,2,10,8,574.04,-374.04,-65.15922235384295
L Watson,100,2,10,11,658.79,-458.78999999999996,-69.64131210249093
E R Harris,100,2,11,8,715.49,-515.49,-72.0471285412794
P J Trefort,100,3,4,13,663.8199999999999,-363.82,-54.80702600102438
W J Yole,100,3,5,6,736.7799999999999,-436.78,-59.28228236379924
R J Veivers,100,3,6,6,869.34,-569.34,-65.49106218510595
R L Burnett,100,3,6,6,531.69,-231.6899999999999,-43.5761439936805
B A Lynn,100,3,7,5,630.3399999999999,-330.3399999999999,-52.40663768759717
L E T Wallrodt,100,3,7,7,633.4800000000001,-333.47999999999996,-52.64254593673042
H C Reeves,100,3,7,13,953.89,-653.89,-68.54983278994433
G J Betts,100,3,9,11,621.1099999999999,-321.11,-51.699376921962305
R W Cross,100,3,10,10,765.4100000000001,-465.40999999999997,-60.80532002456199
M E Kulcsar,100,3,10,11,590.66,-290.6600000000001,-49.209359022110874
D R March,100,3,11,12,1220.0900000000001,-920.09,-75.41164996024882
M G Scott,100,3,12,11,1049.85,-749.8499999999999,-71.42448921274467
T J Hodges,100,4,2,6,389.63000000000005,10.370000000000028,2.661499371198323
C J Walsh,100,4,4,3,430.65000000000003,-30.649999999999988,-7.117148496458838
L R Hinze,100,4,4,11,648.6700000000001,-248.67000000000002,-38.33536312763038
W F White,100,4,5,10,580.6099999999999,-180.60999999999987,-31.10693925354367
J O'Sullivan,100,4,5,13,978.0399999999998,-578.0399999999998,-59.101877223835416
M B Turnbull,100,4,5,14,1056.28,-656.28,-62.13125307683569
D C Hillier,100,4,6,10,717.39,-317.38999999999993,-44.24232286482944
P S Kahlefeldt,100,4,7,7,830.24,-430.24000000000007,-51.82116014646368
A Xiriha,100,4,7,9,692.84,-292.84,-42.266612782171926
P J Duggan,100,4,7,10,679.6,-279.59999999999997,-41.14184814596821
D P Mackney,100,4,8,12,732.6099999999999,-332.61,-45.40069068126289
R P Hutchinson,100,4,9,8,1065.6999999999998,-665.7,-62.46598479872386
P J Westbury,100,4,9,10,691.67,-291.67,-42.16895340263421
K J F Charles,100,4,10,8,916.6899999999999,-516.6899999999999,-56.364747079165255
L C Jurd,100,4,10,11,862.56,-462.55999999999995,-53.626414394360964
D J Harper,100,4,10,13,848.0,-447.99999999999994,-52.83018867924527
K M Males,100,4,10,13,856.5599999999998,-456.56,-53.30157840664987
D M Padberg,100,4,12,9,726.92,-326.91999999999996,-44.973312056347325
M J Painting,100,4,12,10,916.38,-516.38,-56.349985813745384
T S McElhinney,100,4,12,13,792.1999999999999,-392.20000000000005,-49.507700075738455
D C Garrard,100,4,15,13,1331.5100000000002,-931.5100000000002,-69.9589188214884
L Chiang,100,4,16,11,1287.99,-887.9899999999999,-68.94385825976909
M B Kendall,100,5,3,6,907.64,-407.63999999999993,-44.912079679167945
M S Petricevich,100,5,3,11,725.89,-225.88999999999993,-31.11904007494248
T G Dymock,100,5,6,15,865.23,-365.22999999999996,-42.21189741456028
C D Parker,100,5,6,17,1128.45,-628.45,-55.691435154415345
A W Barnes,100,5,7,10,1021.52,-521.5200000000001,-51.053332289137764
P G Bull,100,5,7,11,824.41,-324.40999999999997,-39.35056585922053
"R A Hoare, T A Hoare",100,5,7,16,1024.97,-524.9700000000001,-51.21808443173948
L P Prothero,100,5,8,6,808.2499999999999,-308.25,-38.137952366223324
D A Murphy,100,5,9,12,1070.5499999999997,-570.55,-53.29503526224839
M B Towers,100,5,10,8,681.0600000000001,-181.05999999999992,-26.585029219158358
R W Adams,100,5,11,12,743.6600000000001,-243.65999999999994,-32.76497324045934
J D Justice,100,5,12,15,1184.4199999999998,-684.4199999999998,-57.78524509886695
A S Turnbull,100,5,13,10,1009.1700000000001,-509.1700000000001,-50.45433375942606
G M Johnson,100,5,17,12,959.8,-459.7999999999999,-47.90581371118982
N Tardio,100,5,21,10,1246.8199999999997,-746.8199999999999,-59.89798046229608
R W Hart,100,6,5,5,1072.04,-472.04,-44.03193910674975
D R Lee,100,6,5,9,1015.8599999999999,-415.85999999999996,-40.936743252022914
L C Johnson,100,6,6,9,1053.53,-453.5299999999999,-43.04860801306084
G R Shepherdson,100,6,7,6,838.7499999999999,-238.74999999999997,-28.464977645305517
D A Cernovskis,100,6,7,11,1005.7099999999999,-405.71,-40.34065486074515
C S Hynam,100,6,7,15,854.87,-254.86999999999998,-29.8138898312024
A R MacDonald,100,6,9,2,745.0500000000002,-145.04999999999998,-19.468492047513582
A N Varga,100,6,9,9,862.53,-262.53000000000003,-30.437202184271854
B Shipway,100,6,9,11,799.9899999999998,-199.98999999999992,-24.9990624882811
M A Formosa,100,6,9,11,1037.05,-437.05,-42.143580348102795
P J Brown,100,6,9,12,858.0099999999999,-258.00999999999993,-30.070745096211
M A Dux,100,6,10,10,1213.54,-613.54,-50.557872010811344
A M Conroy,100,6,10,11,871.96,-271.9599999999999,-31.18950410569291
B L Pringle,100,6,11,9,1247.57,-647.5699999999999,-51.906506248146385
T D Williams,100,6,11,14,1003.94,-403.93999999999994,-40.23547223937685
M J Day,100,6,12,8,978.99,-378.99,-38.71234639781816
S R Garraway,100,6,13,12,1153.8,-553.8,-47.997919916796675
G R Smith,100,7,2,9,887.45,-187.45,-21.12231675023945
J J Hutchinson,100,7,6,7,833.87,-133.86999999999998,-16.054061184597117
B W Ainsworth,100,7,7,7,933.07,-233.07,-24.97883331368493
M J Wright,100,7,7,10,763.18,-63.179999999999964,-8.278518829109775
W J Turnbull,100,7,7,12,948.7499999999999,-248.74999999999994,-26.218708827404473
D G Simmonds,100,7,7,13,898.9300000000001,-198.92999999999995,-22.129643020034923
T C Reay,100,7,8,3,864.3000000000001,-164.29999999999995,-19.009603147055415
D P Hewitt,100,7,8,6,1020.1699999999998,-320.17,-31.383985022104167
N M Johns,100,7,8,6,677.9599999999999,22.040000000000063,3.2509292583633354
