Driver,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
Rohan Hillier,100,30,20,13,3393.8500000000004,-493.85,-14.551320771395318
Ryan Sanderson,100,30,12,9,3097.42,-97.42,-3.1451982617791576
Danielle Hill,100,27,18,20,3314.9,-614.9,-18.549579172825727
Ryan Hryhorec,100,27,17,18,3212.93,-512.9300000000001,-15.964555717055775
Jason Lee,100,27,16,12,3235.28,-535.28,-16.545090378576198
Brad Hewitt,100,27,15,13,3001.8399999999997,-301.8399999999999,-10.055166164752285
Kevin Weidenbach,100,26,20,9,2436.6800000000003,163.32,6.702562503077958
Deni Roberts,100,25,27,11,3368.53,-868.5300000000001,-25.783650435056245
Grant Dixon,100,25,24,16,3005.2,-505.1999999999999,-16.810861173965126
James Herbertson,100,25,22,13,3561.6899999999996,-1061.6899999999998,-29.80860209619591
Samantha Hill,100,25,18,14,2287.88,212.11999999999995,9.271465286640906
Allan McDonough,86,25,8,12,2914.24,-414.23999999999995,-14.214340617107718
Amanda Turnbull,100,25,8,6,2497.4,2.599999999999973,0.10410827260350657
Wayne Hill,100,24,22,18,3525.2599999999998,-1125.26,-31.919915126827526
Pete McMullen,100,24,17,9,2761.43,-361.42999999999984,-13.088508490166323
Taylor Youl,100,24,14,8,1976.9799999999998,423.0200000000001,21.39728272415503
Chris Svanosio,100,23,24,19,2356.1600000000003,-56.15999999999997,-2.3835393182126836
Glen Craven,100,23,15,15,2821.4,-521.4000000000001,-18.48018714113561
Damian Wilson,100,23,12,16,2146.68,153.31999999999996,7.142191663405817
James Rattray,96,23,12,12,2144.09,155.90999999999997,7.271616396699764
Jackie Barker,100,22,16,14,2164.74,35.26000000000007,1.6288330238273454
Bernadette Page,100,22,16,9,2223.53,-23.52999999999992,-1.058227233273215
Bailey McDonough,100,22,15,9,2355.98,-155.9799999999999,-6.620599495751234
Aaron Dunn,100,21,21,13,2960.63,-860.6299999999999,-29.069150822628963
Emily Suvaljko,100,21,18,12,2882.2700000000004,-782.2700000000001,-27.140760581069777
David Drury,98,21,17,15,2558.83,-458.83,-17.93124201295123
Layne Dwyer,100,21,15,13,2731.5399999999995,-631.54,-23.12029111783097
Bernie Hewitt,100,21,15,10,2425.97,-325.97,-13.436687180797785
Aiden De Campo,100,20,24,12,2846.9299999999994,-846.9299999999998,-29.748887398004165
Mark Pitt,100,20,20,13,3662.0299999999997,-1662.03,-45.38548291521369
Lisa Ryan,100,20,19,15,2224.6099999999997,-224.60999999999993,-10.09660120200844
Luke McCarthy,100,20,17,21,3277.83,-1277.8300000000002,-38.98402296641376
Alex Ashwood,100,20,17,19,2996.87,-996.8699999999999,-33.26370513235475
Kate Gath,100,20,17,15,2888.3,-888.3000000000001,-30.755115465844963
Abbey Vidovich,97,20,16,12,2221.3,-221.3,-9.962634493314726
Mat Rue,100,19,21,14,2349.48,-449.47999999999985,-19.13104176243253
Jett Turnbull,100,19,21,11,3091.5299999999997,-1191.53,-38.54175764103858
Liam Elliott,100,19,16,8,2382.75,-482.74999999999983,-20.26020354632252
Nathan Dawson,100,19,14,15,2732.4,-832.3999999999999,-30.464060898843503
John O'Shea,100,19,12,13,1907.85,-7.849999999999938,-0.4114579238409696
Abbey Turnbull,95,19,10,16,2529.88,-629.88,-24.897623602700524
Gareth Rattray,100,19,10,14,2138.1600000000003,-238.16000000000003,-11.138549032813259
Joseph Suvaljko,100,18,18,16,1962.1199999999997,-162.11999999999998,-8.262491590728397
Chloe Formosa,100,18,18,12,1997.7099999999998,-197.70999999999992,-9.896831872494003
Tasmyn Potter,100,18,15,21,1986.7300000000002,-186.73000000000002,-9.398861445692168
Corey Peterson,100,18,14,19,2005.3600000000001,-205.3599999999999,-10.240555311764465
Ashleigh Delosa,100,18,13,12,2289.2099999999996,-489.21,-21.370254367227126
Blake Jones,100,18,10,12,2196.2300000000005,-396.22999999999996,-18.041370894669495
Chris Lang,87,17,23,8,2769.2099999999996,-1069.21,-38.6106506909913
Robert Morris,100,17,21,7,2289.26,-589.2599999999999,-25.74019552169696
Lochie Cook,100,17,20,15,2321.32,-621.3200000000002,-26.765805662295595
Mark Yole,100,17,18,12,2446.0200000000004,-746.02,-30.49934178788398
Gary Hall Jnr,100,17,18,9,2780.07,-1080.07,-38.85046059991294
Adam Sanderson,100,17,16,14,2024.6699999999998,-324.67,-16.035699644880403
Justin Reynolds,100,17,14,11,1626.0500000000002,73.95000000000006,4.547830632514378
Liam Older,100,17,13,11,1918.7799999999997,-218.77999999999992,-11.402036710826668
Conor Crook,100,17,9,11,2426.8,-726.8,-29.948903906378767
Rebecca Bartley,100,16,27,9,2220.48,-620.4799999999999,-27.943507710044667
Jocelyn Young,100,16,19,17,2445.7,-845.7,-34.57905712066076
Matthew Craven,100,16,19,11,2343.83,-743.83,-31.73566342268851
Gavin Fitzpatrick,100,16,18,18,2544.08,-944.0799999999999,-37.10889594666834
Blake Fitzpatrick,100,16,18,7,1923.6699999999996,-323.66999999999996,-16.82565096924109
Zara Fitzpatrick,100,16,16,16,2179.4999999999995,-579.5,-26.588667125487504
Laura Wilson,93,16,16,11,2091.65,-491.6500000000001,-23.505366576626113
Kelli Dawson,100,16,15,10,1705.0299999999997,-105.02999999999994,-6.160008914799151
Emma Turnbull,99,16,13,11,1401.23,198.77000000000012,14.18539426075663
Bruce Harpley,100,16,13,9,1833.27,-233.27000000000004,-12.72425774708581
Trent Dawson,100,16,6,9,2107.95,-507.94999999999993,-24.096871367916695
Peter McRae,100,15,24,14,2249.2200000000003,-749.22,-33.31021420759196
Ellen Tormey,100,15,18,15,1881.6199999999997,-381.61999999999995,-20.281459593329153
Donna Castles,90,15,16,9,1588.2,-88.19999999999996,-5.553456743483186
Jayson Finnis,96,15,14,16,2849.92,-1349.92,-47.36694363350551
Harrison Ross,100,15,14,9,1696.5800000000002,-196.57999999999996,-11.586839406335093
Ricky Duggan,96,15,13,10,1459.33,40.670000000000044,2.786895356088071
Cameron Hart,100,15,12,17,2945.4,-1445.3999999999999,-49.073130983907106
Michael Stanley,100,15,12,17,2385.5499999999997,-885.55,-37.12141854079773
Joshua Gallagher,100,15,12,10,2391.8499999999995,-891.85,-37.28703723059557
