Trainer,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
Emma Stewart,100,40,18,10,5113.799999999999,-1113.8,-21.7802808087919
Justin Prentice,100,28,23,11,3334.96,-534.96,-16.04097200566124
Russell Jack,100,28,21,13,3371.1699999999996,-571.17,-16.942782476113635
Luke McCarthy,100,26,19,16,3290.8500000000004,-690.85,-20.99305650515824
"M A Lee, P D Lee",79,26,13,7,2705.1700000000005,-105.16999999999994,-3.8877408813494134
Ryan Hryhorec,100,25,20,13,3136.65,-636.6499999999999,-20.297132290819818
"G F J Bond, S A Bond",100,24,31,9,3735.7400000000002,-1335.7399999999998,-35.755700343171625
Chantal Turpin,100,24,19,14,3317.04,-917.0400000000001,-27.646335286882284
Darren Weeks,80,24,19,11,2415.62,-15.61999999999989,-0.6466248830527935
Jess Tubbs,100,24,15,14,3213.3,-813.2999999999998,-25.310428531416296
Toby Ryan,100,23,17,13,2307.4400000000005,-7.440000000000005,-0.3224352529209861
Aiden De Campo,100,22,29,13,3267.31,-1067.31,-32.66632183661789
Ray Williams,85,22,21,15,2985.92,-785.92,-26.320865930768406
Aaron Dunn,100,22,19,12,2985.9200000000005,-785.9200000000001,-26.320865930768406
Paul Fitzpatrick,100,22,18,15,2628.07,-428.07,-16.288378924457874
Blake Fitzpatrick,100,22,17,12,2328.4999999999995,-128.49999999999994,-5.518574189392311
David Hewitt,71,22,10,7,1821.26,378.74000000000007,20.79549322996168
Chris Svanosio,100,21,27,13,2180.8199999999997,-80.82000000000002,-3.7059454700525505
Shannon Price,100,21,17,19,2680.13,-580.1299999999999,-21.645591818307317
John Tormey,100,21,16,11,1884.79,215.2100000000001,11.418248186800657
Michael Young,100,21,15,14,3477.7,-1377.7,-39.61526296115249
Ellen Jones,100,21,14,14,2585.6400000000003,-485.64,-18.78219705759502
Anton Golino,88,21,14,12,2516.01,-416.01000000000005,-16.53451297888323
Jocelyn Young,100,20,22,19,3004.58,-1004.5799999999998,-33.43495596722337
Mike Reed,100,20,21,16,2779.8,-779.8,-28.052377868911428
Andy Gath,100,20,17,14,2704.95,-704.95,-26.061479879480213
David Drury,91,20,17,12,2370.0799999999995,-370.08000000000004,-15.614662796192539
Samantha Hill,100,20,16,18,2647.59,-647.5899999999999,-24.45960288413236
Bernie Hewitt,100,20,16,10,2252.98,-252.97999999999996,-11.228683787694518
Ross Graham,100,20,14,16,1883.3500000000001,116.65000000000008,6.193750497783209
"J K Neilson, K Wilson",100,20,12,25,2184.9999999999995,-184.99999999999986,-8.466819221967958
Debra Lewis,100,19,25,19,2345.3199999999997,-445.32000000000005,-18.987600839117906
Brent Lilley,100,19,20,15,2023.27,-123.27000000000002,-6.092612454096588
Jarrod Alchin,100,19,19,13,3345.4500000000003,-1445.4500000000003,-43.20644457397361
David Aiken,100,19,16,12,2189.14,-289.14,-13.207926400321588
Michael Stanley,100,19,14,19,2783.81,-883.8100000000002,-31.748215575057216
Laura Wilson,78,19,13,7,2019.01,-119.01000000000003,-5.894473033813603
Michael Laugher,100,19,12,14,2104.1199999999994,-204.11999999999992,-9.700967625420603
Boris Devcic,100,19,11,12,1726.6699999999998,173.33000000000004,10.038397609271028
Jason Grimson,100,19,9,15,2937.04,-1037.0399999999997,-35.30901860376432
Todd Rattray,100,18,23,13,2357.2,-557.2,-23.63821483115561
Gary Hall Snr,100,18,19,16,3505.9700000000007,-1705.97,-48.659001645764214
David Kennedy,100,18,18,10,2209.1200000000003,-409.11999999999995,-18.519591511552104
Brad Hewitt,100,18,17,14,3007.1500000000005,-1207.1499999999994,-40.142659993681704
Craig Turnbull,93,18,17,14,2709.21,-909.21,-33.559967665850934
Amanda Turnbull,100,18,17,5,2105.67,-305.6699999999999,-14.516519682571339
James Rattray,100,18,14,18,2103.58,-303.58,-14.43158805464969
Andrew Vozlic,100,18,14,16,2074.4700000000003,-274.46999999999997,-13.230849325369851
Rickie Alchin,100,18,13,16,2678.2599999999998,-878.26,-32.792185971488955
Trent Dawson,100,18,8,12,2329.7199999999993,-529.7199999999999,-22.737496351492887
Jackson Painting,100,17,19,18,2589.25,-889.25,-34.343921985130834
Mat Rue,100,17,18,14,2301.7300000000005,-601.7299999999999,-26.14251019885042
Peter Greig,100,17,16,11,2283.1800000000003,-583.18,-25.542445186100082
Paul Cavallaro,96,16,26,18,2544.58,-944.58,-37.12125380219919
Mark Hewitt,100,16,23,10,1883.7,-283.7,-15.060784626002016
Trevor White,100,16,22,18,1891.52,-291.52,-15.411943833530707
Grant Dixon,100,16,21,18,2632.7,-1032.6999999999998,-39.225889770957565
Geoff Webster,100,16,20,13,2218.4900000000002,-618.49,-27.878872566475394
Nathan Turvey,100,16,17,17,2298.3100000000004,-698.31,-30.38362971052642
Michael Hawke,100,16,16,13,1408.1300000000003,191.87,13.625872611193564
Geoff Dawson,86,16,14,10,1527.2,72.79999999999998,4.766893661602932
Chris Frisby,100,16,13,15,2272.5299999999997,-672.53,-29.593888749543463
Bruce Harpley,79,16,13,9,1588.2900000000002,11.709999999999944,0.7372709014096885
Michael Munro,100,16,12,15,1584.0399999999997,15.960000000000125,1.0075503143860085
Ashleigh Herbertson,73,16,10,14,1998.4599999999998,-398.46,-19.938352531449215
Mark Callaghan,100,16,9,13,1688.8799999999999,-88.87999999999994,-5.262659277154087
David Rodger,100,16,9,11,1538.6899999999996,61.30999999999996,3.984558293093474
Damian Wilson,63,16,5,14,1380.28,219.7199999999999,15.91850928797055
