Driver,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
Nathan Dawson,158,38,23,20,4315.870000000001,-515.8699999999999,-11.952862342934328
Cameron Hart,88,26,10,12,2645.13,-45.12999999999988,-1.7061543288987642
Jett Turnbull,82,23,13,7,2364.31,-64.30999999999997,-2.720032483050022
Robert Morris,121,21,16,12,1994.0899999999997,105.91000000000011,5.311194579983859
Wayne Hill,89,19,19,15,2481.22,-581.2199999999999,-23.42476684856643
James Herbertson,118,18,20,17,2937.61,-1137.61,-38.725698782343464
Deni Roberts,54,17,7,7,1531.15,168.85000000000002,11.027658949155864
Joshua Gallagher,122,16,14,17,1866.1199999999997,-266.1199999999999,-14.260604891432488
Leonard Cain,103,16,11,12,1583.09,16.910000000000075,1.0681641599656415
Mark Pitt,36,16,6,2,1805.0800000000002,-205.07999999999998,-11.361269306623527
Jack Laugher,91,15,11,11,1328.25,171.75,12.93054771315641
Chris Voak,71,15,8,9,1464.4900000000002,35.510000000000005,2.4247348906445247
Tom Ison,34,14,3,2,886.68,513.3199999999999,57.892362520864346
Jackie Barker,84,13,11,7,1105.66,194.34000000000006,17.576831937485306
Angus Garrard,97,13,10,10,1443.66,-143.65999999999997,-9.951096518570852
Gary Hall Jnr,76,12,10,6,1663.93,-463.93,-27.88158155691646
Ryan Sanderson,51,12,8,7,1255.96,-55.96,-4.455555909423866
Pete McMullen,54,11,6,16,1390.2700000000002,-290.2700000000001,-20.878678242355804
Ajay Markham,73,11,2,9,984.56,115.44000000000005,11.725034533192497
Adam Richardson,92,10,11,10,1239.5900000000001,-239.58999999999986,-19.328164957768283
Will Rixon,92,10,10,14,1480.96,-480.9599999999999,-32.476231633534994
Emily Suvaljko,83,10,10,5,987.7900000000001,12.209999999999965,1.236092691766465
Layne Dwyer,75,10,10,4,1096.8399999999997,-96.83999999999997,-8.828999671784398
Jason Lee,27,10,8,3,1114.5799999999997,-114.57999999999998,-10.28010551059592
Danielle Hill,50,10,7,6,1166.8899999999999,-166.89,-14.302119308589498
Kevin Weidenbach,47,10,5,2,673.35,326.65000000000003,48.51117546595381
Jordan Chibnall,32,10,4,6,977.59,22.409999999999968,2.2923720578156455
Ashleigh Delosa,55,10,3,5,1005.8599999999998,-5.860000000000014,-0.5825860457717789
Aiden De Campo,45,9,9,6,1241.2400000000002,-341.24000000000007,-27.491862975733945
Mat Rue,47,9,8,5,844.3500000000001,55.64999999999996,6.590868715580027
Dylan Ford,42,9,4,2,656.27,243.72999999999996,37.13867767839456
Tom Callaghan,50,9,4,2,1068.78,-168.77999999999994,-15.791837422107443
Jordan Leedham,77,8,10,9,915.1099999999998,-115.10999999999993,-12.57881566150517
Gary Bond,50,8,10,7,682.8000000000001,117.19999999999997,17.16461628588166
Alex Ashwood,84,8,10,6,1450.0399999999997,-650.0399999999998,-44.829108162533444
Grant Dixon,61,8,10,3,977.65,-177.65,-18.17112463560579
Jye Coney,78,8,9,13,1027.8600000000001,-227.86,-22.168388691066877
Adam Sanderson,56,8,9,6,930.1400000000001,-130.14000000000001,-13.991442148493775
