Driver,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
Jason Lee,100,42,12,6,4077.4099999999994,122.5900000000001,3.006565442278312
Brad Hewitt,100,32,9,15,3015.18,184.82000000000005,6.12965063445632
James Herbertson,100,28,15,11,2631.8900000000003,168.11000000000007,6.38742500636425
Grant Dixon,100,27,17,7,2502.6900000000005,197.30999999999995,7.883916905409776
Nathan Dawson,100,27,15,14,2728.0899999999992,-28.090000000000032,-1.0296581124523034
Jett Turnbull,100,27,11,6,3367.0700000000006,-667.07,-19.81158692869468
Ryan Hryhorec,100,27,10,17,2717.3199999999997,-17.320000000000014,-0.6373927251851095
Cameron Hart,100,25,18,13,2548.57,-48.56999999999998,-1.905774610860207
Liam Elliott,100,24,8,10,1809.27,590.73,32.65018488119518
Danielle Hill,100,23,18,13,3206.3600000000006,-906.3599999999999,-28.267568208186223
Jordan Chibnall,100,23,15,4,2368.060000000001,-68.06,-2.874082582367
Glen Craven,100,22,22,15,2481.2,-281.2,-11.333225858455586
Pete McMullen,100,22,21,10,2618.0599999999995,-418.05999999999995,-15.968312414535953
Mark Pitt,100,22,19,12,3232.86,-1032.86,-31.94880075227507
Wayne Hill,100,21,14,22,2316.9900000000002,-216.98999999999998,-9.365167739178846
Aiden De Campo,100,21,14,12,2437.7700000000004,-337.77000000000004,-13.855695984444798
Gaita Pullicino,100,21,13,18,1965.5200000000002,134.48,6.841955309536406
Matt Elkins,100,21,10,12,1644.2600000000002,455.74000000000007,27.71702772067678
Justin Reynolds,100,20,13,9,1534.1700000000003,465.8300000000001,30.363649400001304
Alex Ashwood,100,20,11,15,2078.4,-78.39999999999992,-3.7721324095458004
Bruce Harpley,100,20,11,10,2000.0800000000002,-0.07999999999989171,-0.00399984000639433
James Locke,100,20,8,13,1605.2300000000002,394.77000000000004,24.592737489331746
Michael Stanley,100,19,18,11,2115.12,-215.12000000000012,-10.170581338174673
Gary Hall Jnr,100,19,10,11,2136.3300000000004,-236.32999999999996,-11.062429493570745
Ewa Justice,100,19,7,7,1729.3199999999997,170.68000000000006,9.869775403048603
Adam Sanderson,100,18,21,16,2029.5800000000002,-229.57999999999998,-11.311699957626699
Corey Johnson,100,18,21,8,1652.4400000000003,147.56000000000003,8.929824986081188
Seaton Grima,100,18,17,12,2217.6100000000006,-417.60999999999996,-18.831534850582376
Deni Roberts,100,18,12,17,1862.06,-62.05999999999992,-3.3328678989935834
Rickie Alchin,100,18,12,6,2191.8300000000004,-391.8299999999999,-17.876842638343295
Tom Ison,100,17,18,17,2157.5400000000004,-457.53999999999996,-21.20655932219101
Peter McRae,100,17,15,11,1686.51,13.48999999999994,0.7998766683861904
Rohan Hillier,100,17,14,14,2208.2000000000003,-508.1999999999999,-23.014219726474042
Emily Suvaljko,100,17,10,10,1561.5999999999997,138.40000000000003,8.86270491803279
Brad Elder,100,17,7,14,1885.02,-185.01999999999998,-9.815280474477724
Luke McCarthy,100,16,20,13,2644.88,-1044.8800000000003,-39.505762076162256
Greg Sugars,100,16,14,11,2134.1600000000003,-534.16,-25.02905124264347
Kate Gath,100,16,14,8,2039.2399999999998,-439.24,-21.53939703026618
Jye Coney,100,16,14,7,1592.7599999999998,7.2400000000000375,0.4545568698360104
Taylor Youl,100,16,13,12,1490.4099999999999,109.59000000000013,7.353010245502925
Jackson Painting,100,16,9,7,2015.58,-415.57999999999987,-20.618382798003545
Tayla French,100,16,9,7,1448.81,151.19000000000005,10.435460826471383
Dylan Ford,100,16,5,16,1768.11,-168.11,-9.507892608491554
Maddison Brown,100,15,16,9,1529.2499999999998,-29.24999999999992,-1.9127023050514909
James Rattray,100,15,15,17,1970.3700000000001,-470.37,-23.872166141384614
David Miles,100,15,15,8,1525.26,-25.25999999999989,-1.6561110892569064
Hannah Lewis,100,15,8,14,1201.12,298.88,24.88344212068736
Ryan Backhouse,100,15,7,13,1684.99,-184.9899999999999,-10.978700170327414
Damian Wilson,100,15,7,7,1552.5700000000002,-52.56999999999994,-3.385998698931445
