Trainer,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
Grant Dixon,182,24,20,23,2889.98,-489.9799999999999,-16.954442591298204
Emma Stewart,43,24,9,4,2513.06,-113.05999999999997,-4.498897758111624
Nathan Turnbull,100,22,15,7,2226.0899999999997,-26.089999999999925,-1.1720101163924157
Brad Hewitt,37,16,3,4,1186.91,413.0899999999999,34.80381831815385
Chantal Turpin,67,15,15,7,1985.5199999999998,-485.52000000000004,-24.453040009670016
KerryAnn Morris,100,13,14,9,1618.98,-318.97999999999996,-19.702528752671434
Seaton Grima,47,11,8,2,861.8299999999999,238.17000000000002,27.635380527482223
Graham Dwyer,90,11,6,14,1094.9499999999998,5.050000000000011,0.46120827435042805
Jason Grimson,32,11,4,6,1280.85,-180.85000000000002,-14.119529999609636
Rickie Alchin,59,10,7,6,1173.55,-173.54999999999998,-14.788462357803244
Grace Panella,47,10,5,4,878.69,121.31000000000004,13.805779057460544
Wayne Yole,134,9,10,7,846.8499999999999,53.150000000000034,6.276200035425404
Hayden Reeves,78,9,8,9,796.33,103.67000000000002,13.018472241407459
Blake Fitzpatrick,56,9,6,10,707.1,192.9000000000001,27.280441238862974
Michael Stanley,29,9,5,1,900.3100000000001,-0.3099999999999863,-0.03443258433206188
Alex Ashwood,34,9,1,8,1168.78,-268.78000000000003,-22.99662896353463
Jack Butler,63,8,11,4,757.3,42.70000000000006,5.638452396672397
Dean Girardi,30,8,3,5,599.31,200.69000000000003,33.48684320301681
Dylan Egerton-Green,35,7,10,6,1040.46,-340.46000000000004,-32.722065240374455
Luke McCarthy,56,7,7,3,1110.3999999999999,-410.4,-36.959654178674356
"G F J Bond, S A Bond",43,7,6,3,1106.9599999999998,-406.96,-36.7637493676375
Samantha Hill,32,7,6,1,797.78,-97.78000000000003,-12.25651182030134
Jarrod Alchin,36,7,4,4,755.6400000000001,-55.640000000000015,-7.363294690593405
Michael Young,23,7,2,3,530.8700000000001,169.13,31.85902386648331
Bernie Hewitt,58,6,12,6,1104.9600000000003,-504.96,-45.69939183318852
Andy Gath,35,6,6,3,474.80999999999995,125.18999999999998,26.366336008087444
Gemma Hewitt,64,6,5,7,782.9,-182.89999999999998,-23.361859752203344
David Goulden,36,6,5,4,371.70000000000005,228.29999999999998,61.42050040355124
Jackson Painting,36,6,3,5,618.11,-18.109999999999992,-2.9298992088786773
Phoebe Betts,38,6,3,5,648.6099999999999,-48.60999999999998,-7.494488213256037
Christopher Howlett,12,6,3,1,367.2,232.8,63.398692810457526
Glenn Bull,39,6,2,4,519.6500000000001,80.35000000000001,15.462330414702203
Gary Hall Jnr,13,6,2,0,361.56,238.44,65.94756057085961
Craig Turnbull,16,6,1,3,383.02,216.98000000000002,56.649783301133105
"M A Lee, P D Lee",25,5,9,1,708.7399999999999,-208.74,-29.45226740412564
Brent Lilley,37,5,8,4,787.24,-287.24,-36.48696712565418
Russell Jack,31,5,8,1,622.69,-122.68999999999997,-19.70322311262425
Gary Hall Snr,29,5,7,4,526.26,-26.259999999999994,-4.9899289324668405
Ryan Hryhorec,38,5,6,7,1012.9200000000001,-512.9200000000001,-50.63776013900407
