Trainer,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
Emma Stewart,100,47,15,9,5331.920000000001,-631.92,-11.851640684781465
Peter Bain,100,40,16,8,4549.2699999999995,-549.2700000000001,-12.073805247874937
Jason Grimson,100,37,10,15,3807.61,-107.60999999999999,-2.826182303334637
Brad Hewitt,100,29,12,16,2610.08,289.92,11.107705510942194
Dylan Egerton-Green,100,27,16,13,2571.28,128.72000000000003,5.00606701720544
Alex Ashwood,100,27,14,20,3368.6600000000003,-668.6600000000001,-19.849435680656406
Ryan Hryhorec,100,27,14,20,3181.690000000001,-481.68999999999994,-15.139438474521397
Chris Svanosio,100,26,15,12,2104.8900000000003,495.11,23.52189425575683
Tori Hutchins,100,25,16,14,2624.23,-124.22999999999998,-4.733960056854772
Craig Turnbull,100,25,15,17,2543.36,-43.360000000000035,-1.7048314041268258
Josh Farrugia,100,25,14,9,2374.83,125.16999999999999,5.27069306013483
Michael Stanley,100,24,11,4,2601.51,-201.50999999999993,-7.745886043105732
"M A Lee, P D Lee",100,23,24,9,2924.89,-624.8899999999999,-21.36456413745474
Aiden De Campo,100,23,23,9,2440.9700000000003,-140.97000000000008,-5.775163152353371
Gary Hall Snr,100,23,18,12,2264.8199999999997,35.180000000000064,1.5533243259950047
Seaton Grima,100,23,14,9,2359.83,-59.829999999999956,-2.5353521228224047
Chantal Turpin,100,23,13,12,2667.3600000000006,-367.36,-13.772419171015535
Shannon Price,100,22,12,18,2254.7500000000005,-54.75000000000002,-2.4282071183057994
Chris Voak,100,22,12,10,2229.6900000000005,-29.689999999999927,-1.3315752414012676
Kevin Weidenbach,100,22,9,17,1679.04,520.96,31.027253668763105
Justin Prentice,100,21,15,10,2093.3700000000003,6.630000000000038,0.3167141976812526
Shane Sanderson,100,20,18,12,2240.8199999999997,-240.81999999999994,-10.746958702617789
Samantha Hill,100,20,17,13,2735.6000000000004,-735.5999999999999,-26.889896183652574
"J K Neilson, K Wilson",100,20,15,11,2054.7599999999998,-54.75999999999995,-2.665031439194843
Conor Crook,100,20,13,12,2725.2599999999998,-725.26,-26.61250669660877
"G F J Bond, S A Bond",100,20,13,5,2530.7900000000004,-530.79,-20.973292924343777
Kim Prentice,100,20,10,9,1898.8999999999999,101.10000000000005,5.324135025541106
Matthew Craven,100,20,9,16,2091.73,-91.72999999999996,-4.385365224001184
Russell Jack,100,19,23,12,2532.32,-632.3199999999999,-24.969987995198075
Rickie Alchin,100,19,17,14,2352.3199999999997,-452.32,-19.228676370561832
David Thorn,100,19,17,13,2083.5499999999997,-183.54999999999995,-8.809483813683377
Andy Gath,100,19,16,13,2033.45,-133.45000000000005,-6.5627382035457
Rebecca Bartley,100,19,13,13,1697.52,202.48,11.927989066402752
Brent Lilley,100,19,10,16,1978.3700000000001,-78.37000000000002,-3.96134191278679
Jackson Painting,100,19,10,12,1977.5800000000002,-77.57999999999998,-3.922976567319652
"S M McNaulty, J M McNaulty",100,18,19,11,2616.2000000000003,-816.1999999999999,-31.19792064826847
Tammy Langley,100,18,17,11,2024.6799999999998,-224.68,-11.097062251812634
Scott Hewitt,100,18,16,11,1801.19,-1.1900000000000333,-0.06606743319694387
Lisa Pitt,100,18,15,23,2775.4100000000003,-975.41,-35.144717357075166
Gary Hall Jnr,100,18,15,7,2375.8199999999997,-575.82,-24.236684597317986
