Driver,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
Brad Hewitt,100,71,14,7,5639.199999999999,1460.8,25.904383600510716
Grant Dixon,100,68,11,7,4674.26,2125.74,45.47757292063342
Deni Roberts,100,68,11,6,4991.970000000001,1808.03,36.21876734034859
Mark Pitt,100,65,16,5,5789.169999999999,710.8299999999999,12.2786167965356
Allan McDonough,100,65,9,10,5989.780000000001,510.21999999999986,8.51817595971805
Cameron Hart,100,64,13,4,4856.65,1543.3500000000001,31.7780774813915
Gary Hall Jnr,100,59,14,9,4940.74,959.2599999999999,19.415310257167953
Peter McRae,100,58,19,9,3491.2200000000003,2308.7799999999997,66.13103728782488
Rohan Hillier,100,58,18,4,4648.2,951.8,20.476743685727808
Aiden De Campo,100,58,15,7,4421.94,1378.06,31.164149671863484
Jocelyn Young,100,57,19,10,4643.93,1056.07,22.740868187074305
Nathan Dawson,100,57,18,9,4623.6,1076.4,23.28056060212821
Jason Lee,100,57,16,10,4741.43,958.5700000000002,20.216896590269183
Jett Turnbull,100,56,15,6,4634.780000000001,965.22,20.825583954362447
Ashleigh Delosa,100,55,19,10,3687.3300000000004,1812.67,49.15941887490406
Kyle Symington,100,55,19,6,3832.56,1667.44,43.507211889702965
Chris Lang,100,54,22,10,3866.3099999999995,1533.69,39.66805558788613
Jackson Painting,100,54,22,4,3852.9300000000003,1547.0700000000002,40.15307830663936
Aaron Dunn,100,54,15,9,4234.36,1165.64,27.52812703690759
Trista Dixon,95,54,13,8,2935.61,2464.3900000000003,83.9481402502376
Kate Gath,100,53,21,10,3965.5699999999997,1334.4299999999998,33.650395781690904
Maddison Brown,100,52,23,7,3537.8300000000004,1662.17,46.98275496561451
Chris Svanosio,100,52,19,10,3263.34,1936.66,59.345946177842336
Luke McCarthy,100,51,23,6,5210.04,-110.04000000000008,-2.112075914964186
Adam Sanderson,100,51,18,9,3700.41,1399.5899999999997,37.822565607594825
Pete McMullen,100,51,18,9,4664.990000000001,435.00999999999993,9.324993193983264
Wayne Hill,100,51,18,9,4444.299999999999,655.6999999999999,14.753729496208628
Danielle Hill,100,50,19,9,3989.9199999999996,1010.0799999999998,25.31579580542968
Ryan Hryhorec,100,50,18,11,3930.33,1069.6699999999998,27.215780863184513
