Trainer,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
Emma Stewart,100,79,9,6,7329.090000000001,570.91,7.789643734761068
Brad Hewitt,100,73,12,6,5760.240000000001,1539.7599999999998,26.73083065983361
Gary Hall Snr,100,69,11,9,6327.610000000001,572.3900000000002,9.045911489488134
Shannon Price,100,68,8,11,4312.139999999999,2487.86,57.69432346816199
Ray Williams,88,64,12,5,5544.14,855.8599999999999,15.437200359298284
"M A Lee, P D Lee",100,63,17,6,5131.060000000001,1168.94,22.78164745686076
Ryan Hryhorec,100,63,9,10,3961.34,2338.66,59.03709350876218
Jocelyn Young,100,62,17,10,5261.27,938.7300000000002,17.842270022256987
"G F J Bond, S A Bond",100,62,15,8,5080.07,1119.93,22.04556236429813
Justin Prentice,100,62,14,6,5531.120000000001,668.8799999999999,12.093029983077566
Aaron Dunn,100,61,16,4,4385.29,1714.71,39.10140492418974
Craig Turnbull,98,60,18,9,4287.21,1712.79,39.95115704619088
Michael Young,100,60,13,13,4673.960000000001,1326.0399999999997,28.370803344487317
Chantal Turpin,100,60,13,10,5488.320000000001,511.68,9.323071541018017
Bob Mellsop,100,59,19,8,4395.29,1504.71,34.234601129845814
Aiden De Campo,100,59,15,8,4699.33,1200.6699999999998,25.549812420068392
Michael Brennan,100,59,12,7,4809.299999999999,1090.6999999999998,22.678976150375313
Mat Rue,100,58,15,9,3939.3600000000006,1860.64,47.23203769140164
David Thorn,99,57,14,10,4916.45,783.5500000000001,15.937312491736927
Lisa Pitt,100,56,20,9,5042.02,557.9800000000001,11.066596324488996
Grant Dixon,100,56,18,5,4116.119999999999,1483.88,36.05045528313073
Donny Smith,100,56,10,13,4357.68,1242.32,28.508747774044902
Dylan Egerton-Green,100,55,20,8,4513.56,986.44,21.855032391283157
Rickie Alchin,100,55,15,10,4395.820000000001,1104.1799999999998,25.118862919773775
Anton Golino,100,55,15,8,3957.35,1542.6499999999999,38.98189444956852
Chris Frisby,100,55,15,6,4001.8299999999995,1498.1699999999998,37.437122516448724
David Kennedy,100,54,20,7,4281.179999999999,1118.8200000000002,26.133449189242224
Chris Voak,100,54,17,14,4167.43,1232.5700000000002,29.576261628869595
Ross Olivieri,99,54,17,6,5080.58,319.42000000000013,6.287077459660121
Jason Grimson,100,54,12,9,5642.18,-242.18,-4.292312545859933
Ryan Bell,100,53,15,12,4202.4,1097.6,26.11840852845993
Donald Harper,100,53,12,12,3448.9599999999996,1851.04,53.66951196882539
Luke McCarthy,100,52,21,4,4968.509999999999,231.49000000000015,4.659143284405188
Nathan Turvey,100,52,20,9,4989.76,210.24000000000004,4.2134291028025395
Michael Stanley,100,52,16,7,4246.86,953.1400000000001,22.44340524528711
Graham Dwyer,100,52,15,9,3309.4599999999996,1890.54,57.125331625098966
Trent Dawson,100,51,24,10,4092.3700000000003,1007.63,24.622162707673056
Blake Fitzpatrick,100,50,16,9,3859.3700000000003,1140.63,29.55482371475137
Ellen Jones,100,50,14,11,3902.37,1097.63,28.127266251021823
Jess Tubbs,100,49,25,8,4339.450000000001,560.5500000000001,12.91753563239581
Paul Fitzpatrick,100,49,19,13,3830.76,1069.2399999999998,27.911954807923223
Conor Crook,100,49,12,11,3702.1900000000005,1197.8099999999997,32.35409311785726
Peter Anderson,100,48,23,8,3261.7400000000002,1538.26,47.16071789903548
Colin Brown,100,48,23,7,4022.6499999999996,777.35,19.32432600400234
Andy Gath,100,48,20,14,3509.5,1290.5000000000002,36.77161988887306
Jarrod Alchin,100,48,19,12,4886.17,-86.17000000000003,-1.7635489555214008
Anthony Missen,100,48,18,12,3037.93,1762.07,58.00232395084811
Nathan Turnbull,100,48,18,6,3904.88,895.1199999999999,22.923111593698138
KerryAnn Morris,100,48,17,12,3822.1299999999997,977.8699999999999,25.58442543817191
Russell Jack,100,47,20,8,4834.22,-134.2200000000001,-2.7764561811419446
Kim Prentice,100,47,17,12,4275.329999999999,424.66999999999996,9.933034409039772
Shane Young,72,47,12,4,3538.23,1161.77,32.83477897140661
Tom Ison,100,47,9,12,3552.3999999999996,1147.6000000000001,32.30492061704764
Rebecca East,100,46,25,11,2965.1800000000003,1634.8200000000002,55.133921043579136
Trevor White,100,46,21,14,3525.0100000000007,1074.9899999999998,30.496083699053322
Jemma Hayman,100,46,19,10,3884.24,715.7600000000002,18.427285646612987
Alex Ashwood,100,46,18,9,4203.739999999999,396.2600000000001,9.426367948541065
Peter Manning,100,45,24,9,3016.8,1483.2000000000005,49.164677804295955
John Tormey,100,45,22,11,3016.7299999999996,1483.2700000000002,49.16813901144618
David Aiken,100,45,16,13,3211.4700000000003,1288.5300000000002,40.12274752683351
