Driver,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
Jason Lee,100,70,12,7,7236.0,-236.00000000000006,-3.2614704256495313
Trent Wheeler,100,70,12,4,6570.99,429.0099999999999,6.528848773168121
Pete McMullen,100,69,11,7,7169.64,-269.64000000000004,-3.760858285771671
Allan McDonough,100,69,10,11,7553.32,-653.32,-8.649441570064557
Luke McCarthy,100,68,18,6,7273.81,-473.80999999999995,-6.513917740496382
Trent Dawson,100,68,18,4,6834.9800000000005,-34.98000000000003,-0.5117791127406376
Matt Elkins,100,68,17,5,6464.860000000001,335.13999999999993,5.184025640153072
Ashleigh Delosa,100,68,13,9,6520.650000000001,279.35,4.284082108378766
Brendan Barnes,100,68,7,5,6346.1900000000005,453.81000000000006,7.1509047160579815
Brad Hewitt,100,67,17,9,7208.16,-508.16000000000014,-7.04978801802402
Maddison Brown,96,67,17,7,6367.58,332.4199999999999,5.220507633983395
Adam Sanderson,100,65,17,9,6649.390000000001,-149.39000000000004,-2.246672251138827
Tom Ison,100,65,13,12,6075.599999999999,424.40000000000003,6.98531832247021
Chris Voak,100,64,18,9,6933.5199999999995,-533.5199999999999,-7.694792832500662
Amanda Turnbull,100,64,16,4,6879.280000000001,-479.28000000000037,-6.967008175274161
Mark Pitt,100,64,13,9,7380.4800000000005,-980.4800000000002,-13.284772806104755
Brad Elder,100,64,12,5,6376.44,23.559999999999885,0.3694851672720183
Samantha Hill,100,64,10,13,6315.57,84.42999999999995,1.3368547890372517
Rohan Hillier,100,63,20,6,7028.799999999999,-828.8000000000002,-11.791486455725021
Gaita Pullicino,100,63,15,5,6660.29,-360.2899999999999,-5.409524209906774
Blake Jones,100,63,11,4,6452.68,-152.67999999999998,-2.3661486390151065
Robert Morris,100,62,21,8,6612.39,-412.39,-6.236625486397505
Ryan Sanderson,100,62,19,5,6868.88,-668.8799999999998,-9.737832077427466
Aiden De Campo,100,62,17,8,7052.780000000001,-852.7800000000001,-12.091402255564471
Deni Roberts,100,62,17,6,6939.02,-739.02,-10.650207089761954
Aldo Cortopassi,100,62,16,9,6902.89,-702.8899999999999,-10.182546730427399
Nathan Dawson,100,62,13,9,6533.37,-333.37,-5.102573403924774
Jackie Barker,100,61,21,10,6476.359999999999,-376.3599999999999,-5.8112890574334966
Michael Stanley,100,61,21,8,6653.88,-553.8799999999999,-8.324165749908321
Jocelyn Young,100,61,19,11,6917.5599999999995,-817.5600000000002,-11.818618125466209
Chris Svanosio,94,61,18,5,6022.400000000001,77.59999999999994,1.2885228480340052
Wayne Hill,100,61,15,11,7017.35,-917.3499999999999,-13.072598630537167
Kyle Harper,100,61,13,9,6645.36,-545.3600000000002,-8.206628384316279
Emily Suvaljko,100,61,12,11,6781.200000000001,-681.2,-10.045419689730432
Joshua Gallagher,100,60,23,7,6243.3099999999995,-243.31,-3.8971314895464104
Bernie Hewitt,100,60,18,14,6957.16,-957.16,-13.757912711508718
Leonard Cain,100,60,17,10,6194.639999999999,-194.64,-3.1420712099492465
Gary Hall Jnr,100,60,13,10,7029.179999999999,-1029.18,-14.641537135199274
Aaron Dunn,100,59,23,5,6666.219999999999,-766.22,-11.494070102696883
Mat Rue,100,59,17,12,6280.110000000001,-380.1100000000001,-6.052600989473116
Narissa Elkins,100,59,17,11,6319.000000000001,-419.0,-6.6307960120272185
Rickie Alchin,100,59,16,4,6934.65,-1034.6499999999999,-14.920003172474457
Kate Gath,100,58,18,5,6492.780000000001,-692.78,-10.670005760244454
Grant Dixon,100,58,17,9,7144.85,-1344.8500000000004,-18.822648481073784
Angus Garrard,100,58,16,11,6570.240000000001,-770.2400000000001,-11.72316384180791
Ryan Warwick,100,57,27,4,6862.330000000001,-1162.33,-16.93783306836016
Shane Graham,100,57,24,10,6689.74,-989.7399999999999,-14.79489486885888
Shannon Suvaljko,100,57,20,7,6853.15,-1153.1500000000003,-16.826568804126573
Mitchell Miller,100,57,19,10,6694.71,-994.7100000000002,-14.858149195409512
James Herbertson,100,57,19,6,6474.190000000001,-774.19,-11.958098233138044
Chris Lewis,100,57,18,10,6599.71,-899.7099999999999,-13.632568703776377
Kerryn Manning,100,57,18,6,6464.1,-764.1000000000001,-11.820671091103172
Cameron Hart,100,57,17,5,6974.79,-1274.7899999999997,-18.277109418348076
Stuart McDonald,100,57,15,7,6871.04,-1171.0400000000002,-17.04312593144561
Jack Callaghan,100,57,13,9,6534.01,-834.01,-12.764137183750865
Peter McRae,97,56,19,8,6007.790000000001,-407.79000000000013,-6.787687319297114
Will Rixon,100,56,17,11,6555.03,-955.0300000000002,-14.56942226046258
Ellen Tormey,100,56,15,14,6233.88,-633.88,-10.168306095080432
Seaton Grima,100,55,23,7,6580.299999999999,-1080.3000000000002,-16.417184626840726
Kyle Symington,100,55,21,8,6721.350000000002,-1221.35,-18.17120072604461
Jordan Leedham,90,55,18,5,5693.61,-193.61000000000007,-3.400478782354255
Jett Turnbull,100,55,18,2,6557.030000000002,-1057.0300000000002,-16.120560680674025
Glen Craven,100,55,17,8,6559.249999999999,-1059.25,-16.14894995616877
Taleah McMullen,100,54,25,8,6297.860000000001,-897.8599999999999,-14.256588746018487
Nathan Jack,100,54,22,8,7025.63,-1625.63,-23.138565509427625
Alex Ashwood,100,54,20,7,6712.049999999999,-1312.05,-19.547679174022843
Adam Richardson,78,54,14,2,4884.540000000001,515.4600000000002,10.552887272905945
Mathew Neilson,90,54,13,9,5816.64,-416.64,-7.1628981680145225
Chris Lang,86,53,14,7,5672.26,-372.26000000000016,-6.562816231978086
Chris Alford,100,52,24,12,6662.9000000000015,-1462.9000000000003,-21.9559050863738
Danielle Hill,100,52,21,12,6541.76,-1341.76,-20.51068825514846
Dylan Egerton-Green,100,51,25,10,6666.250000000001,-1566.25,-23.495218451153193
Jackson Painting,100,51,17,9,6580.260000000001,-1480.26,-22.49546370508156
Blake Fitzpatrick,90,51,17,7,5861.750000000001,-761.7500000000002,-12.995265918880882
Ryan Hryhorec,100,50,21,12,6460.8600000000015,-1460.86,-22.610921765833027
Mark Yole,78,50,17,0,5410.620000000001,-410.62000000000006,-7.589148748202609
Layne Dwyer,76,49,14,5,4847.240000000001,52.759999999999984,1.0884544606827797
Blake Hughes,100,48,22,10,6347.8600000000015,-1547.8600000000001,-24.3839656199097
Tayla French,93,48,20,8,6079.139999999999,-1279.14,-21.041463101688727
Lochie Cook,85,48,18,9,5568.79,-768.7900000000003,-13.805332935880152
Mitch Turnbull,72,48,7,7,4507.16,292.84,6.4972177601860155
Jack Laugher,100,47,17,15,6089.1,-1389.1000000000004,-22.812895173342536
Lleyton Green,83,47,13,4,5381.75,-781.7500000000001,-14.525944163143961
