Trainer,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
Chantal Turpin,100,74,9,7,7307.110000000001,92.88999999999992,1.2712276125581785
Emma Stewart,100,72,16,6,7844.759999999999,-644.7600000000001,-8.2189894910743
Justin Prentice,100,71,13,8,7366.06,-266.0600000000002,-3.6119716646348268
"M A Lee, P D Lee",100,71,12,7,7366.91,-266.9100000000001,-3.6230929928558933
Michael Brennan,100,69,12,10,7289.350000000001,-389.34999999999997,-5.341354167381178
Shannon Price,100,69,11,8,6780.82,119.18000000000004,1.7576045375043141
Trent Dawson,99,68,19,4,6699.86,100.1399999999999,1.4946580973333756
Ray Williams,92,68,11,6,6920.910000000001,-120.91000000000005,-1.7470245964764757
Brad Hewitt,100,67,18,6,7135.030000000001,-435.0300000000002,-6.097101203498796
Mike Reed,100,66,14,9,7357.750000000001,-757.7499999999999,-10.298664673303657
Jocelyn Young,100,65,16,13,7087.14,-587.1400000000002,-8.284583061714601
Peter Anderson,100,65,15,9,6412.14,87.85999999999987,1.3702133765014466
Michael Young,100,65,9,10,6845.790000000001,-345.78999999999996,-5.051133616427029
Amanda Turnbull,100,64,15,5,6720.61,-320.6099999999999,-4.770549101941638
Gary Hall Snr,100,64,13,8,7473.139999999999,-1073.14,-14.35996114083237
Gemma Hewitt,91,64,7,9,5885.89,514.1099999999999,8.734617874272198
Ryan Bell,100,63,21,3,6752.73,-452.7300000000001,-6.704399553958179
Bob Mellsop,100,63,19,8,6889.840000000001,-589.8399999999999,-8.561011576466214
Luke McCarthy,100,63,18,9,7046.049999999999,-746.05,-10.58820190035552
Chris Voak,99,63,18,5,6699.059999999999,-399.0599999999999,-5.956955154902329
Kim Prentice,100,62,18,11,6665.7,-465.7,-6.986513044391436
Rickie Alchin,100,62,17,6,6654.639999999999,-454.6399999999998,-6.831924792325353
Jason Grimson,100,62,14,6,7257.449999999999,-1057.4500000000003,-14.570544750566667
Ellen Jones,100,62,9,5,6560.9000000000015,-360.9000000000001,-5.500769711472511
Graham Dwyer,100,61,19,8,6259.600000000001,-159.6000000000001,-2.549683685858523
Bernie Hewitt,100,61,17,11,6940.88,-840.88,-12.114890330909049
Donny Smith,100,60,19,8,6904.889999999999,-904.89,-13.105060326811868
Rohan Hillier,100,60,17,9,6695.58,-795.5800000000002,-11.88216704154084
Nathan Turvey,100,60,12,14,6872.26,-872.2599999999999,-12.692476710718159
Steve Turnbull,100,60,12,14,6726.4,-726.4000000000001,-10.799238820171267
Blake Fitzpatrick,100,60,12,10,6405.97,-405.97,-6.3373696723525095
Darren Elder,94,60,12,8,5857.349999999999,142.64999999999995,2.4354016748188165
Aaron Dunn,100,59,23,4,6618.4,-718.4000000000001,-10.854587211410614
KerryAnn Morris,100,59,21,9,6548.770000000002,-648.7700000000001,-9.906745846930033
Aiden De Campo,100,59,21,7,6962.6900000000005,-1062.6899999999998,-15.262635561830265
Chris Svanosio,100,59,21,7,6490.77,-590.7699999999999,-9.101693635731968
Shane Graham,100,59,20,11,6655.540000000001,-755.54,-11.352046565718181
Russell Jack,100,59,19,8,6900.580000000001,-1000.5799999999998,-14.49994058470447
Jess Tubbs,100,59,18,7,6692.59,-792.5899999999998,-11.842799275019084
Mat Rue,100,59,16,11,6397.330000000001,-497.33,-7.774024475836011
Debra Lewis,98,59,16,8,6715.41,-815.4100000000001,-12.1423710540384
"G F J Bond, S A Bond",100,59,16,6,7045.890000000001,-1145.89,-16.263239988134927
Tom Ison,100,59,14,14,5982.0599999999995,-82.05999999999999,-1.3717682537453653
Michael Stanley,100,58,23,8,6758.27,-958.27,-14.179220421794334
Dylan Egerton-Green,100,58,18,12,6903.800000000001,-1103.8000000000002,-15.98829630058808
Jarrod Alchin,100,58,18,10,6908.5199999999995,-1108.5200000000002,-16.045694302108128
Matthew Craven,100,57,14,10,6568.8499999999985,-868.85,-13.226820524140454
Grant Dixon,100,56,21,11,7078.98,-1478.98,-20.892557967390786
Seaton Grima,100,55,20,8,6554.259999999999,-1054.2600000000002,-16.08511105754121
Paul Fitzpatrick,89,55,18,7,6007.72,-507.7200000000002,-8.451126217600024
Jack Butler,100,55,15,6,6254.53,-754.53,-12.06373620399934
Brent Lilley,100,54,22,9,6517.34,-1117.34,-17.144110940966712
Alex Ashwood,100,54,18,9,6584.989999999999,-1184.9899999999996,-17.995319658799783
Colin Brown,85,54,15,6,5697.020000000001,-297.02000000000004,-5.213602901165872
Anton Golino,82,54,10,6,5492.49,-92.49,-1.6839357012939487
Nathan Turnbull,100,53,18,3,6525.52,-1225.52,-18.78041903174
