Driver,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
Michael Stanley,100,7,7,5,250.91000000000003,449.09,178.98449643298392
Jason Kittel,100,7,2,5,266.30999999999995,433.6900000000001,162.85156396680566
Isobel Ross,100,5,7,8,262.03000000000003,237.97000000000003,90.81784528489104
Daniel Carmody,100,5,5,6,252.33,247.67,98.15321206356754
Connor Ronan,100,5,3,9,253.02000000000004,246.98000000000002,97.61283692988695
Nigel Johns,100,5,3,7,257.90000000000003,242.10000000000002,93.87359441644048
Tom Gilligan,100,5,2,5,258.23999999999995,241.76,93.6183395291202
Kelvin Winnell,100,5,1,7,200.39999999999998,299.60000000000014,149.5009980039921
Michael Formosa,100,4,9,7,272.62,127.38000000000001,46.72437825544715
Bruce Harpley,100,4,6,9,265.05,134.9500000000001,50.9149217128844
Liam Elliott,100,4,5,9,243.76,156.2400000000001,64.09583196586811
Robert Morris,100,4,5,9,262.09000000000003,137.91000000000003,52.61932923804801
Anthony Varga,100,4,4,10,300.6400000000001,99.35999999999994,33.0494944119212
David Smith,100,4,4,9,275.94000000000005,124.06000000000012,44.95904906863814
Dean Chapple,100,4,4,8,247.5,152.50000000000006,61.616161616161634
Greg Rogers,100,4,4,7,249.23,150.7700000000001,60.49432251334114
Conor Crook,100,4,4,6,283.8500000000001,116.15000000000002,40.91949973577593
Will Rixon,100,4,4,6,282.28,117.72000000000001,41.70327334561429
Jake Bates,100,4,4,5,201.72,198.28000000000003,98.29466587348801
Andrew Ward,88,4,4,4,208.9,191.1,91.47917663954046
Bradley Forge,92,4,4,4,139.45,260.54999999999995,186.8411617067049
Cameron Maggs,100,4,3,6,225.75,174.25000000000006,77.18715393134
David Drury,100,4,3,5,223.88,176.12000000000012,78.6671431123817
Melissa Hawke,100,4,3,5,252.37999999999997,147.62000000000006,58.49116411760048
Todd Rattray,100,4,2,11,319.89000000000004,80.11000000000003,25.042983525586926
Hannah Lewis,100,4,2,8,224.98999999999998,175.01000000000008,77.78567936352731
Mark Phillips,74,4,2,8,204.28,195.72000000000006,95.80967299784612
Kyle Harper,100,4,2,7,208.38000000000002,191.62,91.95700163163451
Guy Chapple,100,4,2,6,264.11000000000007,135.89000000000004,51.45204649577828
Mitch Chapple,100,4,2,6,253.58,146.42000000000002,57.74114677813708
Mark Yole,100,4,2,4,317.11999999999995,82.87999999999998,26.13521695257316
James Kennedy,88,4,2,3,187.04000000000002,212.96000000000004,113.85799828913603
Kyle Marshall,49,4,2,2,142.16,257.84000000000003,181.3731007315701
Shane Steele,100,4,1,7,215.08,184.92000000000004,85.97731076808631
Scott Forby,100,4,1,6,180.95999999999995,219.04000000000005,121.04332449160043
Gary Bond,100,3,10,12,265.94000000000005,34.060000000000024,12.807400165450861
Amy Day,100,3,8,8,269.62,30.380000000000017,11.267710110525933
Tiana McMahon,100,3,8,5,233.83,66.17000000000004,28.298336398238057
