Trainer,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
Ingrid Smith,100,7,7,7,302.32000000000005,397.68000000000006,131.5427361735909
Warren Greene,74,6,1,5,205.8,394.2,191.54518950437316
Frank Mercieca,100,5,11,7,292.56000000000006,207.4400000000001,70.90511348099537
Dean Chapple,100,5,5,11,258.96,241.04000000000002,93.08001235712081
Peter Borrelli,100,5,5,8,231.52999999999997,268.46999999999997,115.95473588735801
Michael Formosa,100,5,5,7,285.87,214.13000000000005,74.90467695106169
Trent Lethaby,99,5,5,5,256.17,243.83,95.18288636452355
Maryann White,100,5,4,10,228.17,271.83,119.13485559013017
Murray Lindau,100,5,4,8,268.0300000000001,231.97000000000006,86.54628213259709
Isabel Walsh,100,5,4,3,252.04999999999998,247.95000000000013,98.37333862328909
Lola Weidemann,100,5,3,5,256.87000000000006,243.13000000000002,94.65099077354301
James Kennedy,100,5,3,2,211.82999999999998,288.16999999999996,136.03833262521832
Alyce Finnis,100,5,2,11,255.49,244.51000000000005,95.70237582684256
David Drury,94,5,2,7,220.33,279.67,126.93232877955793
Kelvin Winnell,100,5,2,7,213.07999999999996,286.92,134.65365121081288
Shane Steele,100,5,2,5,227.83999999999995,272.16000000000014,119.45224719101132
John Tormey,100,5,1,9,298.45000000000005,201.55,67.53224995811694
Wayne Justins,100,5,1,5,255.43999999999997,244.5600000000001,95.74068274350147
Narissa Elkins,100,4,9,8,289.88000000000005,110.12000000000006,37.98813302056024
Ian Wilson,100,4,8,8,278.51000000000005,121.48999999999998,43.621413952820355
Jarrod Alchin,100,4,8,7,280.70000000000005,119.30000000000005,42.50089063056645
Matthew Gath,100,4,7,5,254.36,145.64,57.25743041358703
Neil Kliendienst,100,4,7,4,242.25000000000003,157.75000000000003,65.1186790505676
Rodney Blythe,100,4,6,9,255.58,144.42,56.50676891775569
Scott Hewitt,100,4,6,7,258.51,141.49000000000004,54.73289234459017
Darryl Davis,100,4,6,2,234.30999999999997,165.69000000000008,70.7140113524818
Justin Prentice,100,4,5,11,298.6,101.40000000000008,33.95847287340927
Rickie Alchin,100,4,5,9,282.5900000000001,117.41000000000008,41.547825471531205
Bradley Forge,100,4,5,4,154.92,245.08,158.19777949909633
George Batsakis,49,4,5,4,129.92,270.08,207.88177339901478
