Driver,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
Brad Hewitt,100,28,19,13,2547.32,252.6800000000001,9.919444749776238
Alex Ashwood,100,24,10,15,1992.1200000000001,407.88,20.474670200590324
Nathan Dawson,100,23,10,9,2149.71,150.28999999999996,6.991175553911921
Michael Stanley,100,23,6,15,2005.3300000000002,294.6700000000001,14.694339585005961
Liam Elliott,100,21,9,14,1339.0800000000002,760.9200000000001,56.82408817994444
Jason Lee,100,19,23,8,2454.11,-554.11,-22.578857508424644
Pete McMullen,100,19,15,15,2303.25,-403.24999999999983,-17.507869315098223
Mark Pitt,100,19,15,11,2862.52,-962.52,-33.624917904503725
Aiden De Campo,100,19,13,14,1944.6899999999998,-44.69000000000004,-2.298052645923003
David Miles,100,19,11,12,1527.6299999999999,372.36999999999995,24.37566688268756
Cameron Hart,100,18,16,14,1934.55,-134.55,-6.955105838567109
Jordan Chibnall,100,18,15,12,1600.7299999999998,199.26999999999995,12.448695282777232
James Herbertson,100,18,13,12,2474.2400000000002,-674.2400000000001,-27.25038799793068
Angus Garrard,100,18,10,13,1643.0299999999997,156.96999999999997,9.55369043778872
Brad Elder,100,18,9,15,1648.4599999999998,151.54000000000002,9.192822391808114
Ryan Sanderson,100,17,16,13,2021.5299999999997,-321.53000000000003,-15.905279664412603
Jye Coney,100,17,14,14,1530.0600000000002,169.94,11.106753983503912
Gavin Fitzpatrick,100,17,14,12,1756.27,-56.270000000000074,-3.2039492788694264
Lleyton Green,100,17,12,10,1292.88,407.12000000000006,31.489388032918757
Bernie Hewitt,100,17,10,12,2077.03,-377.03,-18.15236178581917
Jackson Painting,100,16,15,15,1898.95,-298.95000000000005,-15.74291055583349
Anthony Frisby,100,16,15,13,1617.38,-17.380000000000003,-1.0745774029603434
Ryan Hryhorec,100,16,12,12,1630.08,-30.0799999999999,-1.8453082057322279
Jett Turnbull,100,15,16,12,2516.49,-1016.4899999999999,-40.39316667262735
Aaron Dunn,100,15,15,15,1944.0300000000002,-444.0300000000001,-22.840696902825574
Jackie Barker,100,15,14,20,1787.64,-287.63999999999993,-16.090488017721686
Bruce Harpley,100,15,11,15,1224.1900000000003,275.81,22.52999942819333
Joseph Suvaljko,100,15,11,12,1505.6699999999998,-5.669999999999957,-0.376576540676241
Damian Wilson,100,15,10,11,1701.31,-201.31,-11.832646607614134
Wayne Hill,100,15,9,15,1726.19,-226.18999999999988,-13.103424304392904
Isobel Ross,100,14,19,11,1610.16,-210.16000000000008,-13.05211904407016
Adam Sanderson,100,14,16,11,1408.4499999999998,-8.449999999999983,-0.5999502999751488
Luke McCarthy,100,14,13,14,2178.47,-778.47,-35.73471289482986
Abbey Vidovich,100,14,12,16,1300.04,99.96000000000008,7.68899418479432
Seaton Grima,100,14,12,15,1734.8899999999999,-334.8900000000001,-19.30324112767957
Allan McDonough,100,14,12,9,1770.0900000000001,-370.0900000000001,-20.90797643057698
Taylor Youl,100,14,12,7,1187.68,212.3200000000001,17.87686919035431
Brendan Barnes,100,14,11,9,1216.88,183.12,15.048320294523698
James Rattray,73,14,8,5,1340.13,59.87000000000002,4.46747703580996
Jordan Leedham,100,14,7,12,1422.9999999999998,-23.0,-1.6163035839775126
Lola Weidemann,100,14,7,10,809.8900000000001,590.1100000000001,72.86298139253479
Leilani Justice,100,14,7,8,1019.16,380.84,37.368028572549946
Josh Aiken,100,14,7,6,1284.9899999999998,115.01000000000002,8.950264204390699
Phoebe Betts,100,14,6,12,1345.6399999999996,54.36000000000004,4.039713444903544
Jayson Finnis,100,14,5,17,1622.28,-222.27999999999992,-13.701703774934037
Tom Ison,100,13,23,12,2030.61,-730.61,-35.97982872141869
Leonard Cain,100,13,20,13,1472.17,-172.17,-11.694980878567012
Mark Yole,100,13,17,15,1381.2999999999997,-81.30000000000003,-5.885759791500763
Amanda Turnbull,100,13,16,18,1747.96,-447.96,-25.627588732007595
Justin Reynolds,100,13,13,10,1103.36,196.64000000000004,17.82192575406033
Danielle Hill,100,13,11,17,1682.06,-382.05999999999995,-22.713815202787053
Tasmyn Potter,100,13,11,12,1344.6199999999997,-44.61999999999988,-3.3184096622093895
Scott Hewitt,100,13,9,15,1306.2900000000002,-6.290000000000012,-0.48151635548002436
Leigh Sutton,100,13,9,7,1149.56,150.44,13.086746233341454
Joshua Gallagher,100,13,8,15,1259.35,40.650000000000006,3.227855639814191
Ken Tippet,100,13,8,8,972.4399999999998,327.5599999999999,33.68434042203117
Dylan Ford,100,13,6,16,1280.2500000000002,-80.25,-6.268306971294669
Laura Wilson,100,13,5,14,1242.32,57.680000000000064,4.642926138193063
Aldo Cortopassi,100,12,18,12,1658.93,-458.93000000000006,-27.664217296691245
Will Rixon,100,12,15,16,1506.9699999999998,-306.96999999999997,-20.37001400160587
Darren Billinger,100,12,15,10,1267.81,-67.81000000000002,-5.348593243467083
Mat Rue,100,12,15,10,1432.73,-232.73000000000008,-16.243814256698755
Layne Dwyer,100,12,14,6,1490.62,-290.6199999999999,-19.496585313493707
Chris Voak,100,12,13,16,1249.82,-49.81999999999998,-3.9861740090573026
Bailey McDonough,100,12,13,14,1293.55,-93.54999999999997,-7.232035870279462
Kyle Symington,100,12,13,8,1085.26,114.74,10.57258168549472
Emily Suvaljko,100,12,12,13,1646.9999999999998,-446.99999999999994,-27.140255009107467
Kate Gath,100,12,12,11,1833.29,-633.29,-34.54390740144767
Kyle Marshall,64,12,12,8,1267.25,-67.25,-5.3067666206352335
Gary Hall Jnr,100,12,11,20,1805.52,-605.5199999999999,-33.53715273162302
Tom Pay,100,12,11,13,857.6,342.4000000000001,39.92537313432837
Maddison Brown,100,12,11,9,1129.87,70.13000000000007,6.206908759414807
Nathan Jack,100,12,9,12,1298.34,-98.33999999999997,-7.574287166689772
Peter Hedges,100,12,9,9,1122.54,77.46000000000005,6.900422256667918
Cameron Maggs,100,12,8,10,1157.1799999999998,42.82000000000002,3.700375049689766
Amy Day,100,12,7,11,1173.9,26.10000000000001,2.2233580373115265
Abbey Turnbull,100,11,18,15,1714.97,-614.9699999999999,-35.85893630792375
Todd Rattray,100,11,18,13,1327.08,-227.07999999999996,-17.111251770805072
Deni Roberts,100,11,17,7,1813.0999999999997,-713.1,-39.33042854779109
Jack Laugher,100,11,16,14,1427.62,-327.61999999999995,-22.9486838234264
Jack Callaghan,100,11,16,12,1712.6699999999998,-612.67,-35.7727991965761
Peter McRae,100,11,15,10,1339.02,-239.02000000000004,-17.850368179713524
Shane Graham,100,11,14,15,1591.3399999999997,-491.34,-30.875865622682774
Kylah Madden,100,11,14,14,1649.7099999999998,-549.71,-33.321614101872456
Lauren Harper,100,11,14,13,1061.4099999999999,38.590000000000096,3.6357298310737693
Chris Svanosio,100,11,14,11,1607.3300000000002,-507.3299999999999,-31.563524602912896
Dylan Egerton-Green,100,11,14,11,1582.4099999999996,-482.4099999999999,-30.4857780221308
Lochie Cook,100,11,14,11,1209.4199999999998,-109.41999999999994,-9.047311934646356
Blake Hughes,100,11,13,13,1700.34,-600.34,-35.307056235811665
Shannon Suvaljko,100,11,12,21,1103.77,-3.7700000000001115,-0.3415566648849046
Molly Ison,100,11,12,9,1073.9800000000002,26.019999999999985,2.4227639248403117
Trent Wheeler,100,11,11,10,964.9699999999998,135.03000000000011,13.99318113516484
Adam Richardson,100,11,11,9,1112.9599999999998,-12.960000000000008,-1.1644623346751015
Stephanie Morris,100,11,11,9,966.4800000000002,133.52,13.815081532985676
Matt Elkins,100,11,10,17,1487.6499999999999,-387.65,-26.05787651665378
John Justice,100,11,9,10,1031.86,68.14000000000009,6.603609016727084
Chris Alford,100,11,8,9,1369.53,-269.5299999999999,-19.68047432330799
Jordan Topping,100,11,8,9,1147.3199999999997,-47.31999999999993,-4.1243942404908776
David Smith,100,11,7,10,964.0499999999998,135.95000000000002,14.101965665681245
Kevin Weidenbach,100,10,20,5,1297.7199999999998,-297.71999999999997,-22.94177480504269
Gary Bond,100,10,17,12,1363.8199999999997,-363.82,-26.67654089249315
Corey Johnson,100,10,17,9,1326.1700000000003,-326.16999999999996,-24.59488602517022
Ashleigh Delosa,100,10,16,17,1564.49,-564.4899999999999,-36.081406720400885
Trent Dawson,100,10,16,13,1595.9499999999996,-595.9499999999998,-37.34139540712428
Malcom Jones,100,10,15,11,1057.8200000000002,-57.820000000000014,-5.465958291580799
Tom Gilligan,100,10,15,11,1449.97,-449.9699999999999,-31.03305585632806
Chloe Butler,100,10,14,12,1272.26,-272.2599999999999,-21.39971389495857
Ryan Warwick,100,10,13,7,932.8600000000001,67.14000000000003,7.197221448020069
Chris Lang,100,10,12,20,1896.6299999999999,-896.6299999999999,-47.274903381260444
Annalise Scott,96,10,12,15,1367.5900000000001,-367.59000000000003,-26.878669776760578
Mark Callaghan,100,10,11,20,1121.7,-121.69999999999993,-10.849603280734593
Lisa Ryan,100,10,11,14,1104.4299999999998,-104.42999999999998,-9.455556259790116
Liam Older,100,10,10,17,1152.19,-152.18999999999997,-13.208758972044537
Adrian Pace,100,10,10,9,1221.63,-221.63000000000008,-18.142154334782223
Ellen Tormey,100,10,10,7,1128.67,-128.66999999999996,-11.400143531767474
Dean Girardi,100,10,9,11,793.88,206.12000000000006,25.9636217060513
Blake Medlyn,100,10,9,10,868.48,131.52000000000004,15.143699336772295
Andrew Millard,100,10,8,20,1284.66,-284.65999999999997,-22.15839210374729
Chantal Turpin,100,10,8,10,1113.1699999999998,-113.1699999999999,-10.166461546753858
Glen Craven,100,10,7,13,1400.0500000000002,-400.05,-28.573979500732115
Declan Murphy,100,10,6,16,1049.4,-49.399999999999906,-4.707451877263188
Mark Phillips,64,10,4,11,1026.8400000000001,-26.83999999999999,-2.6138444158778373
Steven Matson,98,10,2,6,615.2999999999998,384.70000000000005,62.52234682268815
David McKenzie,100,9,17,17,1104.9999999999998,-205.0,-18.552036199095028
Narissa Elkins,100,9,17,15,1342.24,-442.23999999999995,-32.94790797472881
Jason Hewitt,100,9,15,9,1449.75,-549.7499999999999,-37.920331091567505
Zara Fitzpatrick,100,9,15,9,1530.62,-630.62,-41.20029791849055
Tayla French,100,9,15,6,1084.66,-184.65999999999994,-17.0246897645345
Gaita Pullicino,100,9,14,12,1393.51,-493.51,-35.41488758602378
Jocelyn Young,100,9,14,12,1297.1199999999997,-397.11999999999995,-30.61551745405206
Nathan Hurst,100,9,13,19,1059.26,-159.25999999999993,-15.035024451031848
Scott Ewen,100,9,13,11,1288.54,-388.5399999999999,-30.15350707001722
Harrison Ross,100,9,13,10,1235.3799999999999,-335.38,-27.147922096844695
Jodi Quinlan,100,9,13,8,1025.81,-125.80999999999999,-12.26445443113247
Corey Peterson,100,9,12,20,1299.53,-399.5299999999999,-30.744192131001203
Callan Suvaljko,100,9,12,18,934.2099999999999,-34.20999999999994,-3.661917556009884
Paige Bevan,100,9,12,18,1326.3000000000002,-426.2999999999999,-32.14204931011082
Tom Callaghan,100,9,12,14,1428.2600000000002,-528.2599999999999,-36.986263005335154
Rebecca Bartley,100,9,11,16,1311.5199999999998,-411.52000000000004,-31.377333170672205
Ajay Markham,100,9,11,14,1295.0099999999998,-395.01000000000005,-30.50246716241574
Robert Morris,100,9,11,13,1445.9599999999998,-545.96,-37.757614318515046
James Locke,100,9,11,11,1179.79,-279.78999999999996,-23.715237457513624
Darby McGuigan,100,9,11,10,1220.69,-320.69,-26.271207268020547
Stuart McDonald,100,9,11,10,1082.61,-182.60999999999996,-16.867570039072238
Jake Davis,100,9,10,19,1150.09,-250.0900000000001,-21.7452547191959
Taylah Osmond,100,9,10,13,1330.33,-430.33,-32.34761299827863
Jacob Duggan,100,9,10,10,938.9200000000001,-38.91999999999998,-4.145188088442038
Luke Dunne,100,9,9,15,1471.98,-571.98,-38.857864916642896
Madeliene Young,100,9,8,15,1055.82,-155.81999999999996,-14.758197420014774
Anthony Butt,100,9,8,9,1007.98,-107.97999999999993,-10.712514137185254
Emma Ison,100,9,8,6,744.7600000000001,155.24000000000007,20.84429883452388
Samantha Hill,100,9,7,14,1044.1899999999998,-144.18999999999997,-13.80878958810178
Dannielle McMullen,100,9,7,12,1069.23,-169.22999999999996,-15.827277573580984
Grant Campbell,74,9,7,8,873.6500000000001,26.349999999999955,3.0160819550163054
Hannah Rixon,100,9,6,23,1138.4500000000003,-238.45,-20.945144714304533
George Lee,100,9,6,17,1093.2099999999998,-193.20999999999987,-17.673640014269893
