Trainer,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
S A Harmey,100,0,0,3,189.54999999999998,-189.54999999999998,-100.0
C Mifsud,100,0,3,6,354.17999999999995,-354.17999999999995,-100.0
M M Riseley,100,0,4,8,648.36,-648.36,-100.0
L P Prothero,100,2,3,9,742.01,-542.0100000000001,-73.04618536138328
P K Tilbrook,100,2,4,4,467.96000000000004,-267.96000000000004,-57.261304384990176
S J Ison,100,3,3,11,593.6999999999999,-293.7,-49.469429004547756
R L Burnett,100,3,5,16,659.28,-359.28,-54.495813614852565
G M Johnson,100,3,7,8,620.7399999999999,-320.73999999999995,-51.67058671907723
M W Johnson,100,3,8,5,642.8399999999999,-342.84000000000003,-53.33208885570283
J J Hutchinson,100,3,8,13,911.6599999999997,-611.6599999999999,-67.0929951955773
J P Quinlan,100,3,9,6,595.4300000000001,-295.43,-49.61624372302369
M G Scott,100,3,9,8,958.1500000000001,-658.1500000000001,-68.68966237019256
N M Johns,100,3,9,13,809.2199999999999,-509.21999999999997,-62.92726329057612
B J Loades,100,3,12,13,615.89,-315.88999999999993,-51.290003084966465
T E Gillespie,100,3,13,15,1011.44,-711.44,-70.33931819979435
T G Dymock,100,4,3,4,625.35,-225.35,-36.03581994083313
D M Padberg,100,4,4,4,392.35,7.650000000000066,1.9497897285587016
M B Kendall,100,4,6,6,818.1999999999999,-418.20000000000005,-51.112197506722076
R J Gordon,100,4,6,11,737.17,-337.17,-45.73843211199588
J R Fagg,100,4,6,14,877.3399999999999,-477.34,-54.40764127932158
A R Delosa,100,4,7,7,698.1899999999999,-298.18999999999994,-42.70900471218436
R A Shinn,100,4,8,12,877.09,-477.0899999999999,-54.394645931432336
S Bigeni,100,4,9,4,760.58,-360.58000000000004,-47.40855662783665
I C Wilson,100,4,9,15,903.4399999999999,-503.44,-55.724785265208546
A M Shanks,100,4,10,12,1108.19,-708.1899999999998,-63.90510652505434
G J Betts,100,5,7,6,496.70000000000005,3.300000000000012,0.6643849406080152
N Kerr,100,5,7,8,1118.0700000000002,-618.07,-55.28008085361381
B J Swan,100,5,7,9,824.6000000000001,-324.59999999999997,-39.364540383216095
C D Parker,100,5,8,11,861.62,-361.62,-41.96977786030965
M B Turnbull,100,5,9,11,896.1499999999999,-396.15,-44.205769123472635
D G Tucker,100,5,9,16,882.97,-382.96999999999997,-43.372934527786896
R C Weidenbach,100,5,10,4,983.8699999999999,-483.8699999999999,-49.18027788224054
B A Lilley,100,5,10,13,1135.2899999999997,-635.2900000000001,-55.958389486386764
G M Howard,100,5,10,14,756.1299999999999,-256.12999999999994,-33.8738047690212
A Xiriha,100,5,12,8,805.2700000000001,-305.27,-37.90902430240788
D J Binskin,100,5,13,8,916.17,-416.1700000000001,-45.424975714114204
D C Hillier,100,5,13,11,1167.8000000000002,-667.8,-57.18444939201917
R P Hutchinson,100,5,13,12,1195.99,-695.99,-58.19363038152493
D P Barbetti,100,5,15,7,1084.6299999999999,-584.63,-53.90133040760444
M J Wright,100,5,16,3,963.4,-463.4,-48.10047747560722
M Laffan,100,6,2,6,553.4499999999999,46.55000000000001,8.410877224681546
G R Smith,100,6,2,8,631.21,-31.209999999999944,-4.9444717289016245
J W Ainsworth,100,6,5,12,920.8699999999999,-320.87,-34.844223397439386
M A Dux,100,6,6,12,927.57,-327.56999999999994,-35.3148549435622
B R Abbott,100,6,7,8,956.39,-356.38999999999993,-37.26408682650382
