Race Anchor,Venue,Date,MeetingTime,Race No,Time,State,VenDist Sample,Horse No,Horse,Race Name,Distance,Prizemoney,Barrier,Trainer,Driver,RaceAnchorFull,RunnerAnchor,Gait,Start,VenDist,VenDistGaitStart,VenDistGaitStart Sample,BM LT,BM Q1,BM Q2,BM Q3,BM Q4,Br Sts,Br Wins,Br Places,Br Win %,Br Pla %,Br ROI %,Dr Sts,Dr Win,Dr Pla,Dr Win%,Dr Pla%,Dr ROI%,Tr Sts,Tr Win,Tr Pla,Tr Win%,Tr Pla%,Tr ROI%,Driver_clean,Dr 30 Sts,Dr 30 Win,Dr 30 Pla,Dr 30 Win %,Dr 30 Pla %,Dr 30 ROI %,Dr 90 Sts,Dr 90 Win,Dr 90 Pla,Dr 90 Win %,Dr 90 Pla %,Dr 90 ROI %,Dr 180 Sts,Dr 180 Win,Dr 180 Pla,Dr 180 Win %,Dr 180 Pla %,Dr 180 ROI %,Dr 365 Sts,Dr 365 Win,Dr 365 Pla,Dr 365 Win %,Dr 365 Pla %,Dr 365 ROI %,Dr All Sts,Dr All Win,Dr All Pla,Dr All Win %,Dr All Pla %,Dr All ROI %,Ld %,Dth %,BL %
RE030825,Redcliffe,2025-08-03,Night,1,5:03 PM,QLD,4178,1.0,THE BLACK FOX,LADBROKES ODDS SURGE PACE,1780.0,"$4,000",FR1,E P O'Shea,Adam Richardson,RE030825_R1,RE030825_R1_THE BLACK FOX,PACERS,Mobile,Redcliffe_1780.0,Redcliffe_1780.0_pacers_mobile,4149,11.4,30.4,31.1,29.4,29.7,4149.0,589.0,1199.0,14.2,43.09,-26.65,1182.0,111.0,221.0,9.39,28.09,-22.07,1.0,0.0,0.0,0.0,0.0,-100.0,adam richardson,106.0,7.0,26.0,6.6,31.13,-47.44,296.0,20.0,61.0,6.76,27.36,-40.61,471.0,42.0,88.0,8.92,27.6,-21.94,972.0,89.0,188.0,9.16,28.5,-19.86,3101.0,278.0,591.0,8.96,28.02,-20.07,4.3,14.9,14.9
RE030825,Redcliffe,2025-08-03,Night,1,5:03 PM,QLD,4178,2.0,ARTISTIC SAINT,LADBROKES ODDS SURGE PACE,1780.0,"$4,000",FR2,R J Veivers,Jordan Topping,RE030825_R1,RE030825_R1_ARTISTIC SAINT,PACERS,Mobile,Redcliffe_1780.0,Redcliffe_1780.0_pacers_mobile,4149,11.4,30.4,31.1,29.4,29.7,4149.0,475.0,905.0,11.45,33.26,-26.12,818.0,79.0,150.0,9.66,28.0,-14.34,0.0,0.0,0.0,0.0,0.0,0.0,jordan topping,10.0,0.0,2.0,0.0,20.0,-100.0,33.0,5.0,7.0,15.15,36.36,12.16,77.0,8.0,12.0,10.39,25.97,-26.67,164.0,23.0,26.0,14.02,29.88,-8.0,1419.0,126.0,240.0,8.88,25.79,-17.35,16.3,11.1,12.1
RE030825,Redcliffe,2025-08-03,Night,1,5:03 PM,QLD,4178,3.0,LAST CALL,LADBROKES ODDS SURGE PACE,1780.0,"$4,000",FR3,J M Anderson,Gary Bond,RE030825_R1,RE030825_R1_LAST CALL,PACERS,Mobile,Redcliffe_1780.0,Redcliffe_1780.0_pacers_mobile,4149,11.4,30.4,31.1,29.4,29.7,4147.0,538.0,909.0,12.97,34.89,-12.73,106.0,12.0,36.0,11.32,45.28,-23.53,4.0,0.0,0.0,0.0,0.0,-100.0,gary bond,21.0,2.0,4.0,9.52,28.57,0.28,86.0,13.0,27.0,15.12,46.51,-1.91,126.0,18.0,42.0,14.29,47.62,-10.7,164.0,20.0,45.0,12.2,39.63,-11.79,164.0,20.0,45.0,12.2,39.63,-11.79,3.6,5.4,12.5
RE030825,Redcliffe,2025-08-03,Night,1,5:03 PM,QLD,4178,4.0,LULU LUCIFER,LADBROKES ODDS SURGE PACE,1780.0,"$4,000",FR4,L J Weidemann,Lola Weidemann,RE030825_R1,RE030825_R1_LULU LUCIFER,PACERS,Mobile,Redcliffe_1780.0,Redcliffe_1780.0_pacers_mobile,4149,11.4,30.4,31.1,29.4,29.7,4139.0,525.0,927.0,12.68,35.08,-8.53,821.0,59.0,170.0,7.19,27.89,-29.07,1263.0,114.0,286.0,9.03,31.67,-26.4,lola weidemann,25.0,2.0,4.0,8.0,24.0,-11.04,83.0,5.0,18.0,6.02,27.71,-42.93,147.0,7.0,29.0,4.76,24.49,-45.05,304.0,21.0,66.0,6.91,28.62,-32.11,1537.0,108.0,321.0,7.03,27.91,-25.47,4.8,3.8,18.3
RE030825,Redcliffe,2025-08-03,Night,1,5:03 PM,QLD,4178,5.0,DARABONT,LADBROKES ODDS SURGE PACE,1780.0,"$4,000",FR5,G F Dwyer,Layne Dwyer,RE030825_R1,RE030825_R1_DARABONT,PACERS,Mobile,Redcliffe_1780.0,Redcliffe_1780.0_pacers_mobile,4149,11.4,30.4,31.1,29.4,29.7,4065.0,477.0,879.0,11.73,33.36,-21.93,742.0,94.0,183.0,12.67,37.33,-16.3,1416.0,217.0,337.0,15.32,39.12,-17.17,layne dwyer,100.0,7.0,27.0,7.0,34.0,-40.88,345.0,29.0,75.0,8.41,30.14,-30.27,573.0,51.0,133.0,8.9,32.11,-27.48,1082.0,112.0,245.0,10.35,32.99,-20.83,1788.0,188.0,412.0,10.51,33.56,-20.84,10.4,1.5,11.9
RE030825,Redcliffe,2025-08-03,Night,1,5:03 PM,QLD,4178,6.0,DREAM MELODY,LADBROKES ODDS SURGE PACE,1780.0,"$4,000",FR6,G C Hewitt,Brendan Barnes,RE030825_R1,RE030825_R1_DREAM MELODY,PACERS,Mobile,Redcliffe_1780.0,Redcliffe_1780.0_pacers_mobile,4149,11.4,30.4,31.1,29.4,29.7,3392.0,312.0,641.0,9.2,28.1,-22.53,1987.0,259.0,479.0,13.03,37.14,-22.1,229.0,42.0,50.0,18.34,40.17,-2.59,brendan barnes,108.0,12.0,31.0,11.11,39.81,-13.45,310.0,30.0,75.0,9.68,33.87,-25.2,560.0,52.0,134.0,9.29,33.21,-30.86,1077.0,98.0,259.0,9.1,33.15,-34.68,4843.0,608.0,1172.0,12.55,36.75,-20.06,15.0,5.0,12.5
RE030825,Redcliffe,2025-08-03,Night,1,5:03 PM,QLD,4178,7.0,MISS SYRAH,LADBROKES ODDS SURGE PACE,1780.0,"$4,000",SR1,A L Smith,Zac Chappenden,RE030825_R1,RE030825_R1_MISS SYRAH,PACERS,Mobile,Redcliffe_1780.0,Redcliffe_1780.0_pacers_mobile,4149,11.4,30.4,31.1,29.4,29.7,4096.0,406.0,1057.0,9.91,35.72,-20.6,1003.0,69.0,202.0,6.88,27.02,-32.92,1.0,0.0,0.0,0.0,0.0,-100.0,zac chappenden,21.0,2.0,5.0,9.52,33.33,30.76,44.0,6.0,10.0,13.64,36.36,57.09,46.0,7.0,10.0,15.22,36.96,58.99,256.0,19.0,47.0,7.42,25.78,-14.74,1920.0,135.0,383.0,7.03,26.98,-31.83,19.4,5.6,22.2
RE030825,Redcliffe,2025-08-03,Night,1,5:03 PM,QLD,4178,8.0,THE HARRIS HAWK,LADBROKES ODDS SURGE PACE,1780.0,"$4,000",SR2,D Turton,Nathan Rothwell,RE030825_R1,RE030825_R1_THE HARRIS HAWK,PACERS,Mobile,Redcliffe_1780.0,Redcliffe_1780.0_pacers_mobile,4149,11.4,30.4,31.1,29.4,29.7,3898.0,427.0,969.0,10.95,35.81,-17.59,618.0,79.0,168.0,12.78,39.97,-26.69,2.0,0.0,1.0,0.0,50.0,-100.0,nathan rothwell,26.0,0.0,6.0,0.0,23.08,-100.0,103.0,4.0,20.0,3.88,23.3,-51.63,223.0,18.0,42.0,8.07,26.91,-23.43,506.0,45.0,100.0,8.89,28.66,-31.47,1392.0,147.0,319.0,10.56,33.48,-25.16,6.1,11.5,10.7
RE030825,Redcliffe,2025-08-03,Night,1,5:03 PM,QLD,4178,9.0,CANDYKANE,LADBROKES ODDS SURGE PACE,1780.0,"$4,000",SR3,G Geeson,Will Rothwell,RE030825_R1,RE030825_R1_CANDYKANE,PACERS,Mobile,Redcliffe_1780.0,Redcliffe_1780.0_pacers_mobile,4149,11.4,30.4,31.1,29.4,29.7,3182.0,389.0,815.0,12.23,37.84,-11.28,59.0,11.0,13.0,18.64,40.68,41.82,1.0,0.0,0.0,0.0,0.0,-100.0,will rothwell,6.0,2.0,0.0,33.33,33.33,258.17,28.0,4.0,7.0,14.29,39.29,19.02,62.0,11.0,11.0,17.74,35.48,45.65,89.0,12.0,17.0,13.48,32.58,15.49,89.0,12.0,17.0,13.48,32.58,15.49,19.4,2.8,9.7
RE030825,Redcliffe,2025-08-03,Night,2,5:42 PM,QLD,961,1.0,TODAYS HERO,GARRARDS HORSE & HOUND PACE,2040.0,"$4,060",SCR,M J Wright,SCRATCHED,RE030825_R2,RE030825_R2_TODAYS HERO,PACERS,Mobile,Redcliffe_2040.0,Redcliffe_2040.0_pacers_mobile,959,31.4,31.0,30.7,29.2,29.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scratched,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6,9.3,11.9
