Driver,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
Chris Geary,56,0,6,3,480.02,-480.02,-100.0
Paige Bevan,39,0,4,3,322.08000000000004,-322.08000000000004,-100.0
KerryAnn Morris,35,0,4,5,265.66,-265.66,-100.0
Justin Reynolds,33,0,1,5,276.43999999999994,-276.43999999999994,-100.0
Darcy Kulcsar,30,0,3,3,209.43999999999994,-209.43999999999994,-100.0
Mark Riseley,23,0,0,2,45.609999999999985,-45.609999999999985,-100.0
Sebastian Piltz,22,0,3,2,155.04999999999998,-155.04999999999998,-100.0
Jason Ainsworth,19,0,0,3,113.89999999999998,-113.89999999999998,-100.0
Kayleb Williams,19,0,1,3,98.6,-98.6,-100.0
Gareth Rattray,18,0,1,5,185.89000000000001,-185.89000000000001,-100.0
Klayton Bigeni,18,0,2,0,114.64999999999999,-114.64999999999999,-100.0
Trista Dixon,18,0,3,3,219.87999999999997,-219.87999999999997,-100.0
Lauren White,17,0,3,3,204.1,-204.1,-100.0
Luke Watson,17,0,3,4,187.64,-187.64,-100.0
Ada Massa,16,0,2,1,121.3,-121.3,-100.0
Cameron Fitzpatrick,16,0,1,2,141.77,-141.77,-100.0
Graham Betts,15,0,1,4,89.96999999999998,-89.96999999999998,-100.0
Michael Towers,15,0,0,1,45.15,-45.15,-100.0
Brent Livingstone,14,0,1,3,120.82000000000001,-120.82000000000001,-100.0
Michael Wood,14,0,2,1,127.12,-127.12,-100.0
Ricky Gordon,14,0,0,0,25.770000000000003,-25.770000000000003,-100.0
Travis Bullock,14,0,1,1,97.7,-97.7,-100.0
Anthony Robinson,13,0,3,4,221.02,-221.02,-100.0
Cameron Maggs,13,0,3,1,181.6,-181.6,-100.0
Cody Wallrodt,13,0,3,2,74.55000000000001,-74.55000000000001,-100.0
Damon Watson,13,0,2,0,158.15,-158.15,-100.0
Noel Parrish,13,0,0,1,46.21999999999999,-46.21999999999999,-100.0
Taylor Ford,13,0,5,1,155.38,-155.38,-100.0
Clint Sneddon,12,0,1,1,47.28,-47.28,-100.0
Mark Hewitt,12,0,2,1,150.83999999999997,-150.83999999999997,-100.0
Andrew Vozlic,11,0,0,0,21.000000000000004,-21.000000000000004,-100.0
Nick Beale,11,0,0,3,107.45,-107.45,-100.0
Ross Graham,11,0,2,1,54.36,-54.36,-100.0
Shane Hallcroft,11,0,0,2,87.48,-87.48,-100.0
Bronte Miller,10,0,1,0,54.49999999999999,-54.49999999999999,-100.0
Danny Mackney,10,0,0,1,31.75,-31.75,-100.0
Glenn McElhinney,10,0,0,0,32.169999999999995,-32.169999999999995,-100.0
Sara Grout,10,0,1,0,52.44,-52.44,-100.0
Jonah Hutchinson,48,1,4,7,406.97,-306.97,-75.42816423815023
Dylan Ford,44,1,3,7,722.7,-622.7,-86.16299986163
Brent Murphy,38,1,0,4,204.95999999999995,-104.95999999999998,-51.20999219359875
Grace Panella,35,1,8,5,365.19,-265.19,-72.61699389358964
David Smith,34,1,6,4,511.32,-411.32,-80.44277556129235
Vaughan Duncan,33,1,3,3,332.36,-232.36,-69.91214345889999
Brodie Davis,31,1,3,5,338.38,-238.37999999999994,-70.44742597080203
Jemma Coney,31,1,8,2,304.82,-204.81999999999996,-67.19375369070269
Nathan Hurst,31,1,8,3,387.95,-287.95,-74.22348240752675
George Chamouras,30,1,2,2,277.8500000000001,-177.85,-64.00935756703255
Hayden Charles,29,1,1,3,174.94999999999996,-74.94999999999999,-42.84081166047443
Tristan Larsen,29,1,3,1,265.76,-165.75999999999993,-62.37206502107162
Aaron Suvaljko,28,1,0,2,135.11,-35.11000000000001,-25.98623343941974
Cooper Griffiths,27,1,0,3,174.23,-74.22999999999998,-42.6046031108305
Darren McCall,27,1,4,3,323.23,-223.23,-69.0622776351205
Tom Ison,27,1,5,4,569.95,-469.95000000000005,-82.45460128081412
Lindsay Harper,26,1,0,0,103.58999999999999,-3.589999999999998,-3.4655854812240547
Callan Suvaljko,24,1,2,3,86.31,13.690000000000005,15.861429730042875
Leilani Justice,24,1,1,2,222.95000000000002,-122.94999999999999,-55.14689392240412
Anthony Varga,23,1,1,0,205.53,-105.53,-51.345302388945655
Corey Peterson,23,1,2,4,132.53000000000003,-32.529999999999994,-24.545385950350855
Nathan Turnbull,22,1,2,4,289.13999999999993,-189.14,-65.4146780106523
Isobel Ross,21,1,2,1,239.51999999999995,-139.51999999999998,-58.249832999332
Molly Ison,21,1,5,3,345.7799999999999,-245.77999999999997,-71.0798773786801
Amy Day,18,1,2,4,174.79,-74.79,-42.78848904399566
Tiarna Ford,18,1,3,3,247.87999999999997,-147.88,-59.65789898337906
Aaron Dunn,17,1,3,1,342.66,-242.66000000000003,-70.8165528512228
Dean Cernovskis,17,1,2,2,177.64999999999998,-77.64999999999999,-43.70954123276105
Caitlin McElhinney,16,1,1,3,111.39999999999999,-11.399999999999999,-10.23339317773788
Michael Formosa,15,1,2,1,236.33,-136.33,-57.68628612533322
Dean Girardi,14,1,3,3,102.77000000000001,-2.7699999999999907,-2.6953391067432038
Glen Craven,14,1,2,3,252.66,-152.66,-60.42111929074646
Jake Bigeni,14,1,3,0,139.39999999999998,-39.399999999999984,-28.263988522238158
Gary Pekin,13,1,0,1,42.97999999999999,57.019999999999996,132.66635644485808
John Walters,12,1,0,0,72.42999999999999,27.570000000000007,38.06433798149939
Maddison Brown,12,1,4,1,180.64999999999998,-80.65,-44.64433988375312
Will Rothwell,12,1,3,1,75.17999999999999,24.82,33.01409949454642
Anne-Maree Conroy,11,1,4,0,145.60999999999999,-45.61,-31.32339811826111
Emmett Brosnan,11,1,0,2,99.21999999999998,0.78000000000001,0.7861318282604416
Hannah Rixon,11,1,2,2,71.97,28.030000000000005,38.946783381964714
Jed Betts,11,1,0,1,44.61,55.39,124.16498542927594
Stephen Simms,11,1,0,2,89.28999999999999,10.709999999999988,11.994624258035602
Tiana McMahon,11,1,1,1,87.0,12.999999999999996,14.94252873563218
Bruce Harpley,10,1,2,0,177.65,-77.64999999999999,-43.70954123276104
Jake Betts,10,1,0,1,27.14,72.86,268.45983787767136
Nicholas Brown,10,1,1,0,112.64,-12.640000000000004,-11.221590909090914
Rodney Atkins,10,1,1,0,56.99999999999999,43.0,75.43859649122808
Scott Ewen,10,1,1,2,145.26999999999998,-45.26999999999999,-31.162662628209535
Stephen Dowton,10,1,1,1,103.90999999999998,-3.9099999999999975,-3.7628717159079956
Donald Harper,51,2,3,5,405.42,-205.41999999999996,-50.66844260273295
Leonard Cain,42,2,5,8,650.3899999999999,-450.39000000000004,-69.24921969894989
Anthony Butt,41,2,3,3,414.76,-214.76,-51.77934227022857
Chris Lewis,41,2,4,5,465.91,-265.91,-57.073254491210754
Kylah Madden,40,2,2,4,404.38,-204.38,-50.54156981057422
Lola Weidemann,39,2,4,3,348.75,-148.75,-42.65232974910394
Glenn Bull,38,2,2,5,274.11,-74.11,-27.036591149538502
Tom Nally,37,2,5,3,388.1499999999999,-188.14999999999998,-48.47352827515136
Blake Jones,36,2,2,3,429.33,-229.32999999999996,-53.41578738965364
Tom Callaghan,34,2,6,4,651.08,-451.08,-69.2818086871045
Zac Chappenden,27,2,5,2,309.01,-109.01,-35.27717549593864
Brian Portelli,26,2,1,2,514.4,-314.4,-61.11975116640747
Ky Bloomfield,26,2,2,2,213.01,-13.009999999999962,-6.107694474437802
Mitch Turnbull,26,2,0,4,295.78000000000003,-95.78,-32.3821759415782
Blake Fitzpatrick,25,2,1,4,269.09000000000003,-69.09,-25.67542457913709
Mikayla Towers,25,2,0,1,191.91,8.089999999999998,4.215517690584127
Lachlan Kennelly,24,2,1,3,195.19,4.810000000000002,2.4642655873764037
Michael Jnr Day,24,2,3,3,297.34,-97.33999999999999,-32.73693414945853
Trent Dawson,23,2,3,2,361.33000000000004,-161.32999999999998,-44.6489358757922
Bernadette Page,22,2,1,0,180.32999999999996,19.67000000000001,10.907780180779689
Hannah Van dongen,22,2,1,2,112.70999999999998,87.29,77.44654422855118
Aldo Cortopassi,20,2,4,2,369.11,-169.10999999999999,-45.81561052260843
Leigh Sutton,20,2,2,2,311.53,-111.52999999999999,-35.80072545180239
Tony Pullicino,20,2,1,3,117.56,82.43999999999998,70.12589316093909
George Lee,19,2,2,0,214.47,-14.469999999999995,-6.746864363314215
Hannah Lewis,18,2,1,0,150.15,49.85000000000001,33.2001332001332
Jason Kittel,18,2,1,3,292.71999999999997,-92.72000000000001,-31.675321125990713
Damian Wilson,16,2,4,2,371.88,-171.88,-46.21921049801011
Gary Whitaker,16,2,2,2,186.64,13.360000000000014,7.158165452207466
Mitch Cox,16,2,0,1,110.76,89.24,80.57060310581437
Reagan Clarke,16,2,1,1,165.53,34.47000000000001,20.82401981513926
Amy Diebert,15,2,3,0,228.20999999999998,-28.210000000000015,-12.361421497743315
