Trainer,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
T R Langley,48,0,5,10,756.53,-756.53,-100.0
T M Ison,39,0,3,6,513.95,-513.95,-100.0
L P Prothero,23,0,0,4,184.51999999999995,-184.51999999999995,-100.0
M J Elkins,22,0,5,3,227.84999999999997,-227.84999999999997,-100.0
M B Kendall,20,0,0,1,130.65,-130.65,-100.0
D J Harper,20,0,0,2,129.37,-129.37,-100.0
J W Ainsworth,20,0,0,3,119.15999999999998,-119.15999999999998,-100.0
M J Crone,19,0,1,2,218.2,-218.2,-100.0
M A Dux,19,0,1,3,145.58999999999997,-145.58999999999997,-100.0
M M Riseley,18,0,0,4,75.13,-75.13,-100.0
G J Betts,18,0,1,4,154.61999999999998,-154.61999999999998,-100.0
B J Howlett,17,0,0,5,138.25999999999996,-138.25999999999996,-100.0
G R Smith,17,0,1,2,54.23,-54.23,-100.0
G M Johnson,17,0,1,3,118.92999999999998,-118.92999999999998,-100.0
B R Abbott,17,0,3,0,147.05,-147.05,-100.0
I P Gurney,16,0,0,2,72.49000000000001,-72.49000000000001,-100.0
K Warwick,16,0,0,2,176.55,-176.55,-100.0
N Tardio,16,0,3,2,141.61,-141.61,-100.0
J R Rattray,16,0,6,0,199.15,-199.15,-100.0
R J Gordon,15,0,0,0,27.730000000000004,-27.730000000000004,-100.0
T C Reay,15,0,1,1,85.19999999999997,-85.19999999999997,-100.0
T J French,14,0,0,2,138.96999999999997,-138.96999999999997,-100.0
A R MacDonald,14,0,1,2,110.57,-110.57,-100.0
A Cefai,13,0,0,2,83.88,-83.88,-100.0
A R Delosa,13,0,1,0,66.92999999999999,-66.92999999999999,-100.0
M J Wright,13,0,1,1,92.52999999999999,-92.52999999999999,-100.0
M D Wood,13,0,2,1,126.46000000000001,-126.46000000000001,-100.0
R W Cross,13,0,3,0,129.76,-129.76,-100.0
J Conolly,12,0,0,1,79.96999999999998,-79.96999999999998,-100.0
C Gusman,12,0,0,2,86.58,-86.58,-100.0
D G Simmonds,12,0,1,0,139.37,-139.37,-100.0
D R March,12,0,1,2,136.95,-136.95,-100.0
D G Rusten,11,0,0,0,16.95,-16.95,-100.0
C J Walsh,11,0,1,0,93.42999999999998,-93.42999999999998,-100.0
"A M Butt, S L Smith",11,0,1,1,85.35,-85.35,-100.0
R W Adams,11,0,1,2,83.03,-83.03,-100.0
A K Richardson,11,0,2,0,85.60000000000001,-85.60000000000001,-100.0
P J Trefort,11,0,2,1,53.42,-53.42,-100.0
M White,11,0,3,1,112.73999999999998,-112.73999999999998,-100.0
M S Elder,11,0,3,2,157.08,-157.08,-100.0
J N Quinlan,11,0,4,1,109.71999999999998,-109.71999999999998,-100.0
R A Shinn,10,0,0,0,63.99,-63.99,-100.0
K S Winnell,10,0,0,1,93.14999999999999,-93.14999999999999,-100.0
Z S Steenhuis,10,0,0,2,156.79,-156.79,-100.0
L A Clement,10,0,1,0,29.24,-29.24,-100.0
