Driver,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
James Herbertson,140,31,20,17,3598.0199999999995,-498.01999999999987,-13.841501714832043
Nathan Dawson,152,28,27,25,2967.9,-167.89999999999992,-5.657198692678322
Cameron Hart,111,24,17,12,2590.69,-190.68999999999997,-7.360587333876302
Jye Coney,87,22,14,6,1675.0800000000002,524.92,31.337010769634876
Pete McMullen,78,22,10,5,2266.8400000000006,-66.83999999999999,-2.948598048384534
Ryan Sanderson,82,20,10,5,2100.37,-100.36999999999992,-4.7786818512928635
Brendan Barnes,138,18,23,13,2051.56,-251.55999999999997,-12.261888514106339
Wayne Hill,84,18,14,9,1866.37,-66.37000000000002,-3.55610088031848
Ellen Tormey,107,17,12,14,1699.8600000000001,0.1400000000000574,0.008235972374198899
Robert Morris,125,16,17,14,2358.8699999999994,-758.87,-32.17091234362216
Grant Dixon,87,16,4,15,1838.3000000000002,-238.2999999999999,-12.963063700157749
Will Rixon,110,15,13,13,2064.2999999999997,-564.3,-27.33614300247057
Abbey Vidovich,71,15,9,8,1690.1399999999996,-190.13999999999993,-11.24995562497781
Blake Hughes,52,15,4,5,897.9499999999999,602.0500000000001,67.0471629823487
Angus Garrard,110,14,12,16,1788.1799999999994,-388.1799999999998,-21.7081054479974
Deni Roberts,53,14,6,6,1432.67,-32.669999999999945,-2.280357653890983
Adam Richardson,104,12,8,12,1541.72,-341.7199999999999,-22.164854837454264
Gary Hall Jnr,53,12,8,5,1295.61,-95.60999999999996,-7.379535508370571
Chris Alford,99,12,7,12,1703.49,-503.49,-29.556381311307963
Adam Sanderson,58,11,9,5,1164.53,-64.52999999999999,-5.5412913364189835
Danielle Hill,48,11,9,5,1166.23,-66.22999999999999,-5.678982704955282
Emily Suvaljko,77,11,5,7,1294.1499999999999,-194.14999999999995,-15.002124946876325
Jett Turnbull,76,10,10,9,1604.6000000000001,-604.6000000000001,-37.6791723794092
Jack Laugher,43,10,10,5,898.07,101.92999999999995,11.349894774349432
Corey Johnson,64,10,9,9,980.44,19.56000000000003,1.9950226428950297
Ryan Hryhorec,35,10,3,6,1023.01,-23.009999999999998,-2.2492448754166623
Jason Lee,36,9,9,6,1069.5100000000002,-169.51,-15.849314171910498
Shane Graham,82,9,6,7,1056.79,-156.79,-14.836438649116666
Peter McRae,41,9,4,5,653.97,246.02999999999994,37.62099178861414
Dylan Egerton-Green,51,9,4,4,831.1700000000001,68.83000000000001,8.28109772970632
Aiden De Campo,54,8,9,5,1201.78,-401.78000000000003,-33.4320757542978
Liam Elliott,61,8,9,4,911.8399999999999,-111.84000000000003,-12.265309703456753
Jackson Painting,43,8,9,3,808.5699999999999,-8.57,-1.0598958655403987
Ajay Markham,50,8,8,7,852.09,-52.08999999999999,-6.113204004271848
Toby Lynn,67,8,7,6,750.66,49.339999999999996,6.57288253004023
