Trainer,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
G W Dixon,140,21,14,21,2416.84,-316.83999999999986,-13.10968040912927
C A Turpin,77,20,12,3,2152.7500000000005,-152.75000000000003,-7.095575426779701
N A Turnbull,131,19,20,11,2603.3599999999997,-703.3599999999999,-27.017392907627062
E J Stewart,30,17,3,5,1739.78,-39.78000000000001,-2.2864959937463363
W J Yole,150,13,10,12,1173.3600000000001,126.63999999999996,10.792936524169901
A F De Campo,70,13,8,7,1323.5,-23.5,-1.775595013222516
"M A Lee, P D Lee",37,13,8,6,1163.71,136.29000000000002,11.711680745202845
"G F J Bond, S A Bond",43,13,8,5,1197.08,102.92000000000004,8.597587462826214
M A Laugher,53,11,9,6,966.77,133.23000000000002,13.780940658067589
K A Morris,100,10,11,12,1355.39,-355.38999999999993,-26.22049742140638
R M Hryhorec,34,10,5,4,1104.3200000000002,-104.31999999999998,-9.446537235583886
D J Elder,64,10,5,3,578.31,421.69000000000005,72.9176393283879
A P Vozlic,65,9,2,3,654.32,245.68,37.547377430003664
H C Reeves,88,8,9,12,1009.29,-209.29000000000002,-20.736359222820006
B J Hewitt,47,8,7,5,801.0699999999999,-1.0699999999999505,-0.13357134832161366
B M Battle,45,8,7,2,564.28,235.71999999999997,41.77358758063372
R J Alchin,41,8,5,4,674.79,125.21000000000002,18.5554024214941
S M Price,37,8,5,2,756.48,43.520000000000024,5.752961082910325
G C Hewitt,67,7,14,5,1020.7300000000001,-320.7300000000001,-31.421629618018482
T D Williams,59,7,5,4,791.68,-91.68,-11.58043654001617
T J Hutchins,14,7,2,4,493.04999999999995,206.95,41.97343068654295
D J Thorn,16,7,2,3,395.83,304.17,76.8435944723745
M I Stanley,21,7,1,3,615.0300000000001,84.97000000000001,13.815586231565941
J A Douglas,57,6,8,7,641.1199999999999,-41.119999999999955,-6.413775892188664
J G Painting,30,6,7,3,595.95,4.049999999999997,0.6795872136924233
A P Gath,39,6,6,6,939.1400000000001,-339.14,-36.11176182464808
M D Young,43,6,5,5,1198.92,-598.9200000000001,-49.95495946351717
L C Pitt,17,6,4,3,472.89,127.10999999999999,26.879401129226665
P G Bull,45,6,3,5,344.2299999999999,255.77000000000004,74.30206547947597
D Egerton-Green,34,6,3,3,678.7600000000001,-78.75999999999999,-11.603512287111789
R W Jack,18,6,3,3,753.04,-153.04,-20.32295761181345
D W Graham,16,6,2,2,468.58000000000004,131.42000000000002,28.046438174911437
S K Hill,29,6,2,2,616.2,-16.200000000000003,-2.6290165530671863
R J Mellsop,12,6,2,0,358.21,241.79000000000005,67.49951145975825
S T Sanderson,17,6,1,1,571.8199999999999,28.180000000000007,4.928124234899096
G F Dwyer,70,5,7,8,902.5099999999999,-402.51,-44.598951812168295
R J Moore,47,5,7,3,797.2999999999998,-297.3,-37.28834817509094
L Inwood,35,5,7,1,580.3100000000001,-80.30999999999997,-13.83915493443159
J J Alchin,26,5,5,3,463.68000000000006,36.32,7.832988267770875
B M Hewitt,19,5,4,2,469.18,30.819999999999965,6.568907455560757
D M Miles,32,5,3,7,516.02,-16.02000000000001,-3.104530832138291
J N McMullen,46,5,3,3,475.66,24.34000000000003,5.117100449901195
B P Fitzpatrick,28,5,3,2,514.9499999999999,-14.95,-2.903194484901447
J R Grimson,18,5,3,2,522.15,-22.150000000000016,-4.242076031791634
S R Graham,21,5,3,0,571.1699999999998,-71.16999999999996,-12.460388325717384
A J Missen,22,5,2,4,375.8999999999999,124.09999999999995,33.014099494546414
C R Judd,26,5,2,2,556.4,-56.39999999999999,-10.136592379583034
P A Betts,16,5,2,2,314.04999999999995,185.95,59.210316828530495
S J Lee,46,5,2,2,454.3,45.70000000000002,10.059432093330402
M J Munro,14,5,2,1,309.80000000000007,190.2,61.39444803098771
R J Veivers,18,5,1,2,250.12,249.88,99.9040460578922
T J Ryan,9,5,0,0,242.57,257.43,106.12606670239519
R A Graham,52,4,8,9,571.9699999999999,-171.9699999999999,-30.06626221654981
L J Weidemann,51,4,7,6,593.4600000000002,-193.45999999999998,-32.59865871330838
M A Formosa,32,4,7,3,523.1600000000001,-123.16000000000003,-23.54155516476795
R W Hart,22,4,6,1,306.57000000000005,93.43000000000004,30.475910884952874
D A Micallef,36,4,5,7,516.97,-116.97000000000001,-22.626071145327582
