Driver,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
Mark Riseley,100,0,0,5,341.6,-341.6,-100.0
Michael Wood,100,0,4,7,576.9399999999999,-576.9399999999999,-100.0
Austin Mifsud,100,0,4,8,439.05,-439.05,-100.0
Owen Shea,100,1,4,3,408.64,-308.64,-75.52858261550509
Angela Hurst,100,1,13,11,672.6000000000001,-572.6,-85.13232233125184
Jamie Rigoli,100,2,1,7,558.5699999999999,-358.57,-64.19428182680774
Sam Ison,100,2,2,15,564.16,-364.1599999999999,-64.54906409529211
Glenn McElhinney,100,2,3,6,380.01000000000005,-180.00999999999996,-47.36980605773531
Klayton Bigeni,100,2,8,5,772.81,-572.81,-74.12041769645838
Clint Sneddon,100,2,8,8,585.42,-385.4199999999999,-65.83649345768848
Ben Loades,100,2,8,16,601.4899999999998,-401.49,-66.74923938885104
Chris Geary,100,2,10,4,974.1100000000001,-774.1100000000001,-79.46843785609428
Aaron Suvaljko,100,3,1,11,629.0000000000001,-329.00000000000006,-52.30524642289348
Noel Parrish,100,3,4,6,321.11000000000007,-21.109999999999957,-6.5740711905577385
Tony Pullicino,100,3,4,7,453.0799999999999,-153.07999999999998,-33.78652776551603
Brent Murphy,100,3,4,9,656.7800000000001,-356.7800000000001,-54.32260422059137
Darcy Kulcsar,100,3,6,7,588.3,-288.30000000000007,-49.00560938296789
Ricky Gordon,100,3,7,8,578.7,-278.7,-48.159668221876615
Kyle Pratten,100,3,7,10,504.0400000000001,-204.04,-40.480914213157675
Christopher Shinn,100,3,8,10,684.46,-384.46,-56.16982730911959
Garry Johnson,100,3,9,8,572.3599999999998,-272.36000000000007,-47.58543573974425
Trent Wheeler,100,3,9,11,845.1599999999999,-545.1599999999999,-64.50376260116427
Rod Barker,100,3,11,8,549.1899999999999,-249.18999999999994,-45.37409639651122
Lauren White,100,3,12,11,918.7800000000001,-618.7800000000001,-67.34800496310325
Ada Massa,100,3,14,12,1013.52,-713.5200000000001,-70.40018943878759
Joe Taaffe,100,3,15,10,734.2399999999999,-434.24,-59.14142514709088
Gary Pekin,100,4,4,9,573.6499999999999,-173.64999999999992,-30.27107121066852
Jeremy Quinlan,100,4,4,10,471.51,-71.50999999999996,-15.166168267905233
Hayden Charles,100,4,5,10,533.1400000000001,-133.14,-24.97280264095734
Dan Morgan,100,4,6,11,550.5200000000001,-150.51999999999998,-27.34142265494441
Jonah Hutchinson,100,4,6,13,932.12,-532.1199999999999,-57.08707033429171
Monique Burnett,100,4,7,13,774.1099999999999,-374.11000000000007,-48.32775703711361
Josh Duggan,100,4,8,14,988.97,-588.97,-59.553879288552736
KerryAnn Morris,100,4,8,14,650.1,-250.09999999999997,-38.47100446085217
Paul Williams,100,4,9,12,595.0,-195.0,-32.773109243697476
Cameron Fitzpatrick,100,4,9,16,943.5100000000001,-543.5100000000001,-57.6051128233935
David Murphy,100,4,10,15,1075.68,-675.68,-62.814219842332285
Leilani Justice,100,4,11,6,958.64,-558.6400000000001,-58.274221814236846
Nathan Rothwell,100,4,11,11,968.7199999999999,-568.7199999999999,-58.70839871170204
Ben Xiriha,100,4,11,16,770.93,-370.93,-48.11461481587174
Rodney Atkins,100,4,14,10,910.1900000000002,-510.19,-56.053131763697685
Hannah Van dongen,100,5,2,7,479.36,20.64000000000002,4.305740987983983
John Walters,100,5,4,7,543.4799999999999,-43.479999999999976,-8.00029439905792
Jason Ainsworth,100,5,4,10,858.3,-358.2999999999999,-41.74531049749503
Tiana McMahon,100,5,5,7,561.5599999999998,-61.55999999999995,-10.96231925350808
Roger Strong,100,5,5,10,750.8499999999999,-250.84999999999997,-33.40880335619631
Nicholas Brown,100,5,6,9,672.9399999999999,-172.93999999999997,-25.699170802746156
Jim Douglass,100,5,6,10,791.82,-291.81999999999994,-36.85433558131898
Damon Watson,100,5,6,11,1227.5799999999997,-727.5800000000002,-59.26945698040049
Cameron Maggs,100,5,8,6,912.24,-412.2399999999999,-45.189862316934125
Tom Nally,100,5,8,14,928.4499999999999,-428.4499999999998,-46.146803812806276
Hannah Rixon,100,5,8,16,946.01,-446.00999999999993,-47.14643608418515
Luke Watson,100,5,9,14,789.09,-289.09,-36.63587170031302
Graham Betts,100,5,10,8,490.60999999999996,9.390000000000047,1.9139438657997283
Kyle Harper,100,5,10,10,866.7700000000002,-366.77000000000004,-42.31457018586245
Lola Weidemann,100,5,10,10,986.29,-486.28999999999996,-49.30497115452859
Rodney Coelli,100,5,10,10,820.5999999999998,-320.59999999999997,-39.06897392152084
Dean Cernovskis,100,5,10,14,955.6700000000001,-455.67,-47.68068475519792
Layne Dwyer,100,5,10,14,1261.57,-761.57,-60.36684448742441
Leonard Cain,100,5,10,16,1418.74,-918.74,-64.757460845539
Darren McCall,100,5,12,10,791.1499999999999,-291.15000000000003,-36.800859508310694
Keali Hepworth,100,5,13,8,896.0699999999999,-396.06999999999994,-44.20078788487506
Jake Bigeni,100,5,14,6,892.08,-392.08000000000004,-43.95121513765582
Olivia Weidenbach,100,5,14,10,862.42,-462.42,-53.61888638946222
Maddison Brown,100,5,16,13,1209.8,-709.7999999999997,-58.67085468672506
Steven Matson,100,6,3,6,529.88,70.12000000000008,13.233184872046516
Cooper Griffiths,100,6,4,9,802.04,-202.04,-25.190763552940005
Sean O'Sullivan,100,6,4,16,899.0699999999999,-299.0699999999999,-33.26437318562513
Matt Newberry,100,6,6,7,714.54,-114.53999999999998,-16.02989335796456
Trent Moffat,100,6,7,5,699.9499999999999,-99.94999999999999,-14.27959139938567
Dean Miller,100,6,7,6,781.28,-181.27999999999992,-23.202949006758132
Neil McCallum,100,6,7,7,806.5600000000001,-206.55999999999997,-25.609998016266612
Blake Medlyn,100,6,7,8,906.58,-306.5799999999999,-33.81720311500363
Lindsay Harper,100,6,7,8,652.64,-52.63999999999999,-8.065702378033832
Jack Watson,100,6,7,10,1098.13,-498.13000000000005,-45.361660277016384
Harry O'Neill,100,6,7,11,930.6400000000001,-330.6400000000001,-35.52823863147942
Rodney Petroff,100,6,7,11,930.15,-330.15000000000003,-35.494275116916626
Jason Kittel,100,6,7,13,1221.92,-621.9200000000001,-50.896949063768496
Olivia Frisby,100,6,8,10,1177.61,-577.6100000000001,-49.04934570868116
