Race Anchor,Venue,Date,MeetingTime,Race No,Time,State,VenDist Sample,Horse No,Horse,Race Name,Distance,Prizemoney,Barrier,Trainer,Driver,RaceAnchorFull,RunnerAnchor,Gait,Start,VenDist,VenDistGaitStart,VenDistGaitStart Sample,BM LT,BM Q1,BM Q2,BM Q3,BM Q4,Br Sts,Br Wins,Br Places,Br Win %,Br Pla %,Br ROI %,Dr Sts,Dr Win,Dr Pla,Dr Win%,Dr Pla%,Dr ROI%,Tr Sts,Tr Win,Tr Pla,Tr Win%,Tr Pla%,Tr ROI%,Driver_clean,Dr 30 Sts,Dr 30 Win,Dr 30 Pla,Dr 30 Win %,Dr 30 Pla %,Dr 30 ROI %,Dr 90 Sts,Dr 90 Win,Dr 90 Pla,Dr 90 Win %,Dr 90 Pla %,Dr 90 ROI %,Dr 180 Sts,Dr 180 Win,Dr 180 Pla,Dr 180 Win %,Dr 180 Pla %,Dr 180 ROI %,Dr 365 Sts,Dr 365 Win,Dr 365 Pla,Dr 365 Win %,Dr 365 Pla %,Dr 365 ROI %,Dr All Sts,Dr All Win,Dr All Pla,Dr All Win %,Dr All Pla %,Dr All ROI %,Ld %,Dth %,BL %,Bell Pos Sts,Bell Pos Lead,Bell Pos Lead %,Bell Pos Lead ROI %,Bell Pos BL,Bell Pos BL %,Bell Pos BL ROI %,Bell Pos Dth,Bell Pos Dth %,Bell Pos Dth ROI %,Tr 30 Sts,Tr 30 Win,Tr 30 Pla,Tr 30 Win %,Tr 30 Pla %,Tr 30 ROI %,Tr 90 Sts,Tr 90 Win,Tr 90 Pla,Tr 90 Win %,Tr 90 Pla %,Tr 90 ROI %,Tr 180 Sts,Tr 180 Win,Tr 180 Pla,Tr 180 Win %,Tr 180 Pla %,Tr 180 ROI %,Tr 365 Sts,Tr 365 Win,Tr 365 Pla,Tr 365 Win %,Tr 365 Pla %,Tr 365 ROI %,Tr All Sts,Tr All Win,Tr All Pla,Tr All Win %,Tr All Pla %,Tr All ROI %
AP160825,Albion Park,2025-08-16,Night,1,5:42 PM,QLD,4075,1.0,MAYWYN TROUBADOUR,QBRED 4YO & OLDER UP TO NR65 PACE,1660.0,"$14,500",FR1,G J Dawson,Shane Graham,AP160825_R1,AP160825_R1_MAYWYN TROUBADOUR,PACERS,Mobile,Albion Park_1660.0,Albion Park_1660.0_pacers_mobile,3980,3.4,27.9,30.5,28.4,28.5,3980.0,596.0,1209.0,14.97,45.35,-24.25,3025.0,366.0,773.0,12.1,37.65,-26.44,326.0,28.0,72.0,8.59,30.67,-27.69,shane graham,82.0,9.0,13.0,10.98,26.83,-14.84,265.0,26.0,56.0,9.81,30.94,-20.81,431.0,47.0,95.0,10.9,32.95,-17.15,956.0,107.0,230.0,11.19,35.25,-26.32,4230.0,556.0,1081.0,13.14,38.7,-22.95,27.7,14.2,9.9,141.0,39.0,27.7,20.6,14.0,9.9,-39.1,20.0,14.2,-20.9,10.0,2.0,6.0,20.0,80.0,-16.54,32.0,4.0,13.0,12.5,53.12,-32.6,63.0,6.0,27.0,9.52,52.38,-39.83,134.0,20.0,41.0,14.93,45.52,-10.51,493.0,64.0,130.0,12.98,39.35,-10.25
AP160825,Albion Park,2025-08-16,Night,1,5:42 PM,QLD,4075,2.0,ENGLISH DANCE,QBRED 4YO & OLDER UP TO NR65 PACE,1660.0,"$14,500",FR2,G W Dixon,Trista Dixon,AP160825_R1,AP160825_R1_ENGLISH DANCE,PACERS,Mobile,Albion Park_1660.0,Albion Park_1660.0_pacers_mobile,3980,3.4,27.9,30.5,28.4,28.5,3980.0,515.0,875.0,12.94,34.92,-17.54,922.0,89.0,203.0,9.65,31.67,-15.91,5311.0,590.0,1170.0,11.11,33.14,-17.51,trista dixon,18.0,0.0,6.0,0.0,33.33,-100.0,71.0,5.0,16.0,7.04,29.58,-29.04,120.0,13.0,27.0,10.83,33.33,-9.11,206.0,18.0,47.0,8.74,31.55,-26.26,979.0,93.0,215.0,9.5,31.46,-17.59,11.7,3.9,6.5,77.0,9.0,11.7,54.0,5.0,6.5,116.9,3.0,3.9,39.1,148.0,24.0,37.0,16.22,41.22,-9.94,511.0,88.0,120.0,17.22,40.7,-2.83,937.0,155.0,236.0,16.54,41.73,-4.45,1653.0,266.0,426.0,16.09,41.86,-4.88,7722.0,1005.0,1873.0,13.01,37.27,-14.33
AP160825,Albion Park,2025-08-16,Night,1,5:42 PM,QLD,4075,3.0,MISS BAY KING COLE,QBRED 4YO & OLDER UP TO NR65 PACE,1660.0,"$14,500",FR3,G F Dwyer,Layne Dwyer,AP160825_R1,AP160825_R1_MISS BAY KING COLE,PACERS,Mobile,Albion Park_1660.0,Albion Park_1660.0_pacers_mobile,3980,3.4,27.9,30.5,28.4,28.5,3980.0,547.0,930.0,13.74,37.11,-6.79,920.0,76.0,205.0,8.26,30.54,-25.24,2518.0,278.0,536.0,11.04,32.33,-20.04,layne dwyer,92.0,5.0,21.0,5.43,28.26,-55.61,331.0,25.0,76.0,7.55,30.51,-37.48,572.0,51.0,124.0,8.92,30.59,-27.23,1084.0,107.0,242.0,9.87,32.2,-24.59,1828.0,190.0,419.0,10.39,33.32,-21.77,13.0,19.6,13.0,46.0,6.0,13.0,70.2,6.0,13.0,-100.0,9.0,19.6,-58.9,74.0,5.0,15.0,6.76,27.03,-46.89,315.0,26.0,62.0,8.25,27.94,-33.48,567.0,53.0,113.0,9.35,29.28,-25.1,1092.0,108.0,238.0,9.89,31.68,-25.56,4145.0,531.0,927.0,12.81,35.17,-18.65
AP160825,Albion Park,2025-08-16,Night,1,5:42 PM,QLD,4075,4.0,BETTYS GOLD CLASS,QBRED 4YO & OLDER UP TO NR65 PACE,1660.0,"$14,500",FR4,D J D Smith,Matt Elkins,AP160825_R1,AP160825_R1_BETTYS GOLD CLASS,PACERS,Mobile,Albion Park_1660.0,Albion Park_1660.0_pacers_mobile,3980,3.4,27.9,30.5,28.4,28.5,3977.0,546.0,888.0,13.73,36.06,-4.18,1879.0,164.0,404.0,8.73,30.23,-22.02,1028.0,128.0,225.0,12.45,34.34,-20.55,matt elkins,68.0,6.0,18.0,8.82,35.29,-23.32,194.0,19.0,47.0,9.79,34.02,-18.16,399.0,42.0,99.0,10.53,35.34,-23.09,650.0,70.0,152.0,10.77,34.15,-21.95,3787.0,415.0,897.0,10.96,34.64,-18.51,16.1,3.2,24.7,93.0,15.0,16.1,75.5,23.0,24.7,-37.3,3.0,3.2,-100.0,34.0,3.0,9.0,8.82,35.29,-42.49,87.0,13.0,23.0,14.94,41.38,-23.08,150.0,24.0,40.0,16.0,42.67,-25.25,307.0,58.0,77.0,18.89,43.97,-14.27,1867.0,259.0,424.0,13.87,36.58,-17.72
AP160825,Albion Park,2025-08-16,Night,1,5:42 PM,QLD,4075,5.0,GO THE RED,QBRED 4YO & OLDER UP TO NR65 PACE,1660.0,"$14,500",FR5,G W Dixon,Jonah Hutchinson,AP160825_R1,AP160825_R1_GO THE RED,PACERS,Mobile,Albion Park_1660.0,Albion Park_1660.0_pacers_mobile,3980,3.4,27.9,30.5,28.4,28.5,3961.0,343.0,714.0,8.66,26.69,-23.51,553.0,29.0,97.0,5.24,22.78,-37.59,5311.0,590.0,1170.0,11.11,33.14,-17.51,jonah hutchinson,52.0,1.0,11.0,1.92,23.08,-77.25,146.0,9.0,29.0,6.16,26.03,-38.7,285.0,24.0,68.0,8.42,32.28,-29.42,550.0,50.0,141.0,9.09,34.73,-21.65,2122.0,207.0,504.0,9.75,33.51,-19.75,2.3,20.9,7.0,43.0,1.0,2.3,800.1,3.0,7.0,-5.7,9.0,20.9,-100.0,148.0,24.0,37.0,16.22,41.22,-9.94,511.0,88.0,120.0,17.22,40.7,-2.83,937.0,155.0,236.0,16.54,41.73,-4.45,1653.0,266.0,426.0,16.09,41.86,-4.88,7722.0,1005.0,1873.0,13.01,37.27,-14.33
AP160825,Albion Park,2025-08-16,Night,1,5:42 PM,QLD,4075,6.0,BLACKJACK BART,QBRED 4YO & OLDER UP TO NR65 PACE,1660.0,"$14,500",FR6,G W Dixon,Adam Sanderson,AP160825_R1,AP160825_R1_BLACKJACK BART,PACERS,Mobile,Albion Park_1660.0,Albion Park_1660.0_pacers_mobile,3980,3.4,27.9,30.5,28.4,28.5,3827.0,325.0,699.0,8.49,26.76,-24.17,2055.0,252.0,454.0,12.26,34.36,-18.24,5311.0,590.0,1170.0,11.11,33.14,-17.51,adam sanderson,64.0,11.0,16.0,17.19,42.19,-12.03,167.0,31.0,42.0,18.56,43.71,1.8,326.0,52.0,88.0,15.95,42.94,-9.6,609.0,91.0,143.0,14.94,38.42,-13.7,2757.0,403.0,665.0,14.62,38.74,-12.77,1.5,14.6,8.0,137.0,2.0,1.5,-100.0,11.0,8.0,90.6,20.0,14.6,-14.1,148.0,24.0,37.0,16.22,41.22,-9.94,511.0,88.0,120.0,17.22,40.7,-2.83,937.0,155.0,236.0,16.54,41.73,-4.45,1653.0,266.0,426.0,16.09,41.86,-4.88,7722.0,1005.0,1873.0,13.01,37.27,-14.33
AP160825,Albion Park,2025-08-16,Night,1,5:42 PM,QLD,4075,7.0,CAPTAINS PICK,QBRED 4YO & OLDER UP TO NR65 PACE,1660.0,"$14,500",FR7,G W Dixon,Hannah Anforth,AP160825_R1,AP160825_R1_CAPTAINS PICK,PACERS,Mobile,Albion Park_1660.0,Albion Park_1660.0_pacers_mobile,3980,3.4,27.9,30.5,28.4,28.5,2956.0,238.0,469.0,8.05,23.92,-22.52,51.0,0.0,4.0,0.0,7.84,-100.0,5311.0,590.0,1170.0,11.11,33.14,-17.51,hannah anforth,9.0,1.0,1.0,11.11,22.22,9.41,45.0,3.0,4.0,6.67,15.56,-27.12,71.0,5.0,11.0,7.04,22.54,-23.6,147.0,10.0,23.0,6.8,22.45,-33.52,259.0,16.0,45.0,6.18,23.55,-36.88,5.2,8.4,11.7,154.0,8.0,5.2,99.8,18.0,11.7,-1.5,13.0,8.4,24.1,148.0,24.0,37.0,16.22,41.22,-9.94,511.0,88.0,120.0,17.22,40.7,-2.83,937.0,155.0,236.0,16.54,41.73,-4.45,1653.0,266.0,426.0,16.09,41.86,-4.88,7722.0,1005.0,1873.0,13.01,37.27,-14.33
AP160825,Albion Park,2025-08-16,Night,1,5:42 PM,QLD,4075,8.0,CHAMONIX,QBRED 4YO & OLDER UP TO NR65 PACE,1660.0,"$14,500",SR1,G W Dixon,Jack Chapple,AP160825_R1,AP160825_R1_CHAMONIX,PACERS,Mobile,Albion Park_1660.0,Albion Park_1660.0_pacers_mobile,3980,3.4,27.9,30.5,28.4,28.5,3669.0,323.0,942.0,8.8,34.48,-27.29,553.0,41.0,101.0,7.41,25.68,-18.66,5311.0,590.0,1170.0,11.11,33.14,-17.51,jack chapple,71.0,8.0,14.0,11.27,30.99,14.42,275.0,24.0,56.0,8.73,29.09,-17.37,530.0,46.0,106.0,8.68,28.68,-20.63,963.0,102.0,209.0,10.59,32.29,-14.34,1652.0,168.0,330.0,10.17,30.15,-12.23,5.4,10.1,5.4,129.0,7.0,5.4,-20.0,7.0,5.4,94.6,13.0,10.1,70.4,148.0,24.0,37.0,16.22,41.22,-9.94,511.0,88.0,120.0,17.22,40.7,-2.83,937.0,155.0,236.0,16.54,41.73,-4.45,1653.0,266.0,426.0,16.09,41.86,-4.88,7722.0,1005.0,1873.0,13.01,37.27,-14.33
AP160825,Albion Park,2025-08-16,Night,1,5:42 PM,QLD,4075,9.0,BETTOR CULLECT,QBRED 4YO & OLDER UP TO NR65 PACE,1660.0,"$14,500",SR2,G W Dixon,Grant Dixon,AP160825_R1,AP160825_R1_BETTOR CULLECT,PACERS,Mobile,Albion Park_1660.0,Albion Park_1660.0_pacers_mobile,3980,3.4,27.9,30.5,28.4,28.5,3216.0,289.0,695.0,8.99,30.6,-23.35,3096.0,407.0,702.0,13.15,35.82,-17.79,5311.0,590.0,1170.0,11.11,33.14,-17.51,grant dixon,87.0,16.0,19.0,18.39,40.23,-12.96,274.0,56.0,63.0,20.44,43.43,-13.06,470.0,92.0,123.0,19.57,45.74,-12.48,783.0,149.0,209.0,19.03,45.72,-11.56,4378.0,634.0,1082.0,14.48,39.2,-17.24,23.8,9.5,0.0,21.0,5.0,23.8,20.0,0.0,0.0,0.0,2.0,9.5,14.4,148.0,24.0,37.0,16.22,41.22,-9.94,511.0,88.0,120.0,17.22,40.7,-2.83,937.0,155.0,236.0,16.54,41.73,-4.45,1653.0,266.0,426.0,16.09,41.86,-4.88,7722.0,1005.0,1873.0,13.01,37.27,-14.33
AP160825,Albion Park,2025-08-16,Night,1,5:42 PM,QLD,4075,10.0,HOLD ONTO YA BLING,QBRED 4YO & OLDER UP TO NR65 PACE,1660.0,"$14,500",SR3,S M Price,Mitch Cox,AP160825_R1,AP160825_R1_HOLD ONTO YA BLING,PACERS,Mobile,Albion Park_1660.0,Albion Park_1660.0_pacers_mobile,3980,3.4,27.9,30.5,28.4,28.5,2469.0,249.0,530.0,10.09,31.55,-16.07,91.0,6.0,14.0,6.59,21.98,-29.95,643.0,121.0,171.0,18.82,45.41,-10.42,mitch cox,18.0,2.0,2.0,11.11,22.22,73.51,29.0,2.0,3.0,6.9,17.24,17.56,58.0,3.0,9.0,5.17,20.69,-18.77,92.0,4.0,14.0,4.35,19.57,-40.2,178.0,13.0,28.0,7.3,23.03,-26.16,8.9,7.1,12.5,56.0,5.0,8.9,49.6,7.0,12.5,89.3,4.0,7.1,-100.0,37.0,8.0,7.0,21.62,40.54,5.75,69.0,17.0,14.0,24.64,44.93,29.91,147.0,31.0,36.0,21.09,45.58,11.85,207.0,44.0,52.0,21.26,46.38,5.27,931.0,191.0,258.0,20.52,48.23,-5.71
