StatLevel,Venue,Distance,Start,Gait,FieldSize,Position,Sts,W,Spend,P&L,SR,ROI
FieldSize,Albany,1832,Mobile,PACERS,10,B/LEAD,65,6,945.41,-345.41,9.2,-36.5
FieldSize,Albany,1832,Mobile,PACERS,5,B/LEAD,4,0,86.93,-86.93,0.0,-100.0
FieldSize,Albany,1832,Mobile,PACERS,6,B/LEAD,3,0,18.85,-18.85,0.0,-100.0
FieldSize,Albany,1832,Mobile,PACERS,7,B/LEAD,5,0,76.95,-76.95,0.0,-100.0
FieldSize,Albany,1832,Mobile,PACERS,8,B/LEAD,19,3,302.72,-2.72,15.8,-0.9
FieldSize,Albany,1832,Mobile,PACERS,9,B/LEAD,33,1,297.73,-197.73,3.0,-66.4
FieldSize,Albany,1832,Mobile,PACERS,10,DEATH,66,10,1477.66,-477.66,15.2,-32.3
FieldSize,Albany,1832,Mobile,PACERS,5,DEATH,1,0,7.14,-7.14,0.0,-100.0
FieldSize,Albany,1832,Mobile,PACERS,6,DEATH,3,1,74.71,25.29,33.3,33.9
FieldSize,Albany,1832,Mobile,PACERS,7,DEATH,5,1,171.9,-71.9,20.0,-41.8
FieldSize,Albany,1832,Mobile,PACERS,8,DEATH,19,3,346.38,-46.38,15.8,-13.4
FieldSize,Albany,1832,Mobile,PACERS,9,DEATH,35,4,534.75,-134.75,11.4,-25.2
FieldSize,Albany,1832,Mobile,PACERS,10,LEAD,65,22,1676.33,523.67,33.8,31.2
FieldSize,Albany,1832,Mobile,PACERS,5,LEAD,4,3,245.9,54.1,75.0,22.0
FieldSize,Albany,1832,Mobile,PACERS,6,LEAD,3,2,184.16,15.84,66.7,8.6
FieldSize,Albany,1832,Mobile,PACERS,7,LEAD,5,4,178.47,221.53,80.0,124.1
FieldSize,Albany,1832,Mobile,PACERS,8,LEAD,19,7,540.93,159.07,36.8,29.4
FieldSize,Albany,1832,Mobile,PACERS,9,LEAD,34,15,1273.93,226.07,44.1,17.7
FieldSize,Albany,2247,Stand,PACERS,10,B/LEAD,6,0,46.92,-46.92,0.0,-100.0
FieldSize,Albany,2247,Stand,PACERS,11,B/LEAD,1,0,0.79,-0.79,0.0,-100.0
FieldSize,Albany,2247,Stand,PACERS,6,B/LEAD,1,0,2.94,-2.94,0.0,-100.0
FieldSize,Albany,2247,Stand,PACERS,7,B/LEAD,2,1,23.07,76.93,50.0,333.5
FieldSize,Albany,2247,Stand,PACERS,8,B/LEAD,2,0,12.04,-12.04,0.0,-100.0
FieldSize,Albany,2247,Stand,PACERS,9,B/LEAD,6,0,45.15,-45.15,0.0,-100.0
FieldSize,Albany,2247,Stand,PACERS,10,DEATH,6,0,64.25,-64.25,0.0,-100.0
FieldSize,Albany,2247,Stand,PACERS,11,DEATH,1,1,44.44,55.56,100.0,125.0
FieldSize,Albany,2247,Stand,PACERS,6,DEATH,1,0,14.29,-14.29,0.0,-100.0
FieldSize,Albany,2247,Stand,PACERS,7,DEATH,2,1,68.37,31.63,50.0,46.3
FieldSize,Albany,2247,Stand,PACERS,8,DEATH,2,0,6.66,-6.66,0.0,-100.0
FieldSize,Albany,2247,Stand,PACERS,9,DEATH,6,1,145.23,-45.23,16.7,-31.1
FieldSize,Albany,2247,Stand,PACERS,10,LEAD,6,3,139.84,160.16,50.0,114.5
FieldSize,Albany,2247,Stand,PACERS,11,LEAD,1,0,20.0,-20.0,0.0,-100.0
FieldSize,Albany,2247,Stand,PACERS,6,LEAD,1,1,51.28,48.72,100.0,95.0
FieldSize,Albany,2247,Stand,PACERS,7,LEAD,2,0,75.0,-75.0,0.0,-100.0
FieldSize,Albany,2247,Stand,PACERS,8,LEAD,2,1,21.02,78.98,50.0,375.7
FieldSize,Albany,2247,Stand,PACERS,9,LEAD,6,3,125.68,174.32,50.0,138.7
FieldSize,Albany,2265,Mobile,PACERS,10,B/LEAD,126,7,1506.59,-806.59,5.6,-53.5
FieldSize,Albany,2265,Mobile,PACERS,5,B/LEAD,1,0,1.41,-1.41,0.0,-100.0
FieldSize,Albany,2265,Mobile,PACERS,6,B/LEAD,3,1,68.88,31.12,33.3,45.2
FieldSize,Albany,2265,Mobile,PACERS,7,B/LEAD,11,0,114.37,-114.37,0.0,-100.0
FieldSize,Albany,2265,Mobile,PACERS,8,B/LEAD,35,2,356.69,-156.69,5.7,-43.9
FieldSize,Albany,2265,Mobile,PACERS,9,B/LEAD,55,2,629.73,-429.73,3.6,-68.2
FieldSize,Albany,2265,Mobile,PACERS,10,DEATH,126,17,2438.5,-738.5,13.5,-30.3
FieldSize,Albany,2265,Mobile,PACERS,6,DEATH,1,0,16.67,-16.67,0.0,-100.0
FieldSize,Albany,2265,Mobile,PACERS,7,DEATH,11,1,357.15,-257.15,9.1,-72.0
FieldSize,Albany,2265,Mobile,PACERS,8,DEATH,35,5,849.02,-349.02,14.3,-41.1
FieldSize,Albany,2265,Mobile,PACERS,9,DEATH,55,8,1193.08,-393.08,14.5,-32.9
FieldSize,Albany,2265,Mobile,PACERS,10,LEAD,126,45,4159.3,340.7,35.7,8.2
FieldSize,Albany,2265,Mobile,PACERS,5,LEAD,1,1,94.34,5.66,100.0,6.0
FieldSize,Albany,2265,Mobile,PACERS,6,LEAD,3,2,135.75,64.25,66.7,47.3
FieldSize,Albany,2265,Mobile,PACERS,7,LEAD,11,6,474.05,125.95,54.5,26.6
FieldSize,Albany,2265,Mobile,PACERS,8,LEAD,35,16,1412.55,187.45,45.7,13.3
FieldSize,Albany,2265,Mobile,PACERS,9,LEAD,55,26,1975.95,624.05,47.3,31.6
FieldSize,Albany,2648,Stand,PACERS,10,B/LEAD,1,0,5.88,-5.88,0.0,-100.0
FieldSize,Albany,2648,Stand,PACERS,12,B/LEAD,1,0,10.0,-10.0,0.0,-100.0
FieldSize,Albany,2648,Stand,PACERS,8,B/LEAD,3,0,12.67,-12.67,0.0,-100.0
FieldSize,Albany,2648,Stand,PACERS,9,B/LEAD,3,0,49.5,-49.5,0.0,-100.0
FieldSize,Albany,2648,Stand,PACERS,10,DEATH,1,0,48.78,-48.78,0.0,-100.0
FieldSize,Albany,2648,Stand,PACERS,12,DEATH,1,0,14.29,-14.29,0.0,-100.0
FieldSize,Albany,2648,Stand,PACERS,8,DEATH,3,0,85.3,-85.3,0.0,-100.0
FieldSize,Albany,2648,Stand,PACERS,9,DEATH,3,0,37.86,-37.86,0.0,-100.0
FieldSize,Albany,2648,Stand,PACERS,10,LEAD,1,0,2.44,-2.44,0.0,-100.0
FieldSize,Albany,2648,Stand,PACERS,12,LEAD,1,0,5.88,-5.88,0.0,-100.0
FieldSize,Albany,2648,Stand,PACERS,8,LEAD,3,0,28.13,-28.13,0.0,-100.0
FieldSize,Albany,2648,Stand,PACERS,9,LEAD,3,0,53.05,-53.05,0.0,-100.0
FieldSize,Albany,2690,Mobile,PACERS,10,B/LEAD,3,0,13.87,-13.87,0.0,-100.0
FieldSize,Albany,2690,Mobile,PACERS,7,B/LEAD,1,0,18.18,-18.18,0.0,-100.0
FieldSize,Albany,2690,Mobile,PACERS,8,B/LEAD,1,0,4.35,-4.35,0.0,-100.0
FieldSize,Albany,2690,Mobile,PACERS,9,B/LEAD,4,0,38.04,-38.04,0.0,-100.0
FieldSize,Albany,2690,Mobile,PACERS,10,DEATH,3,0,28.13,-28.13,0.0,-100.0
FieldSize,Albany,2690,Mobile,PACERS,7,DEATH,1,0,6.25,-6.25,0.0,-100.0
FieldSize,Albany,2690,Mobile,PACERS,8,DEATH,1,0,43.48,-43.48,0.0,-100.0
FieldSize,Albany,2690,Mobile,PACERS,9,DEATH,4,1,156.95,-56.95,25.0,-36.3
FieldSize,Albany,2690,Mobile,PACERS,10,LEAD,3,1,112.06,-12.06,33.3,-10.8
FieldSize,Albany,2690,Mobile,PACERS,7,LEAD,1,0,60.61,-60.61,0.0,-100.0
FieldSize,Albany,2690,Mobile,PACERS,8,LEAD,1,1,28.57,71.43,100.0,250.0
FieldSize,Albany,2690,Mobile,PACERS,9,LEAD,4,2,162.37,37.63,50.0,23.2
FieldSize,Albion Park,1628,Stand,TROTTERS,10,B/LEAD,1,0,35.71,-35.71,0.0,-100.0
FieldSize,Albion Park,1628,Stand,TROTTERS,3,B/LEAD,1,0,38.46,-38.46,0.0,-100.0
FieldSize,Albion Park,1628,Stand,TROTTERS,4,B/LEAD,11,1,350.44,-250.44,9.1,-71.5
FieldSize,Albion Park,1628,Stand,TROTTERS,5,B/LEAD,12,3,261.53,38.47,25.0,14.7
FieldSize,Albion Park,1628,Stand,TROTTERS,6,B/LEAD,2,2,69.8,130.2,100.0,186.5
FieldSize,Albion Park,1628,Stand,TROTTERS,7,B/LEAD,4,1,49.31,50.69,25.0,102.8
FieldSize,Albion Park,1628,Stand,TROTTERS,8,B/LEAD,2,1,10.99,89.01,50.0,809.9
FieldSize,Albion Park,1628,Stand,TROTTERS,3,DEATH,1,0,20.83,-20.83,0.0,-100.0
FieldSize,Albion Park,1628,Stand,TROTTERS,5,DEATH,3,0,95.48,-95.48,0.0,-100.0
FieldSize,Albion Park,1628,Stand,TROTTERS,6,DEATH,1,0,32.26,-32.26,0.0,-100.0
FieldSize,Albion Park,1628,Stand,TROTTERS,7,DEATH,2,0,77.03,-77.03,0.0,-100.0
FieldSize,Albion Park,1628,Stand,TROTTERS,8,DEATH,2,1,108.42,-8.42,50.0,-7.8
FieldSize,Albion Park,1628,Stand,TROTTERS,10,LEAD,1,1,34.48,65.52,100.0,190.0
FieldSize,Albion Park,1628,Stand,TROTTERS,3,LEAD,1,1,46.51,53.49,100.0,115.0
FieldSize,Albion Park,1628,Stand,TROTTERS,4,LEAD,12,9,425.72,474.28,75.0,111.4
FieldSize,Albion Park,1628,Stand,TROTTERS,5,LEAD,13,4,302.78,97.22,30.8,32.1
FieldSize,Albion Park,1628,Stand,TROTTERS,6,LEAD,2,0,18.32,-18.32,0.0,-100.0
FieldSize,Albion Park,1628,Stand,TROTTERS,7,LEAD,4,1,97.89,2.11,25.0,2.2
FieldSize,Albion Park,1628,Stand,TROTTERS,8,LEAD,2,0,18.97,-18.97,0.0,-100.0
FieldSize,Albion Park,1660,Mobile,PACERS,10,B/LEAD,2204,341,32910.48,1189.52,15.5,3.6
FieldSize,Albion Park,1660,Mobile,PACERS,4,B/LEAD,6,1,178.79,-78.79,16.7,-44.1
FieldSize,Albion Park,1660,Mobile,PACERS,5,B/LEAD,53,7,1040.94,-340.94,13.2,-32.8
FieldSize,Albion Park,1660,Mobile,PACERS,6,B/LEAD,183,21,3302.53,-1202.53,11.5,-36.4
FieldSize,Albion Park,1660,Mobile,PACERS,7,B/LEAD,362,57,6717.28,-1017.28,15.7,-15.1
FieldSize,Albion Park,1660,Mobile,PACERS,8,B/LEAD,639,101,10478.17,-378.17,15.8,-3.6
FieldSize,Albion Park,1660,Mobile,PACERS,9,B/LEAD,1180,166,18250.19,-1650.19,14.1,-9.0
FieldSize,Albion Park,1660,Mobile,PACERS,10,DEATH,2245,219,36694.73,-14794.73,9.8,-40.3
FieldSize,Albion Park,1660,Mobile,PACERS,5,DEATH,30,9,923.09,-23.09,30.0,-2.5
FieldSize,Albion Park,1660,Mobile,PACERS,6,DEATH,152,25,3626.72,-1126.72,16.4,-31.1
FieldSize,Albion Park,1660,Mobile,PACERS,7,DEATH,342,52,7650.67,-2450.67,15.2,-32.0
FieldSize,Albion Park,1660,Mobile,PACERS,8,DEATH,650,84,13566.91,-5166.91,12.9,-38.1
FieldSize,Albion Park,1660,Mobile,PACERS,9,DEATH,1199,144,20477.83,-6077.83,12.0,-29.7
FieldSize,Albion Park,1660,Mobile,PACERS,10,LEAD,2204,848,64521.39,20278.61,38.5,31.4
FieldSize,Albion Park,1660,Mobile,PACERS,4,LEAD,6,3,187.61,112.39,50.0,59.9
FieldSize,Albion Park,1660,Mobile,PACERS,5,LEAD,53,32,2522.03,677.97,60.4,26.9
FieldSize,Albion Park,1660,Mobile,PACERS,6,LEAD,179,101,7705.07,2394.93,56.4,31.1
FieldSize,Albion Park,1660,Mobile,PACERS,7,LEAD,362,163,14019.3,2280.7,45.0,16.3
FieldSize,Albion Park,1660,Mobile,PACERS,8,LEAD,640,277,21672.99,6027.01,43.3,27.8
FieldSize,Albion Park,1660,Mobile,PACERS,9,LEAD,1181,469,38090.09,8809.91,39.7,23.1
FieldSize,Albion Park,1660,Mobile,TROTTERS,10,B/LEAD,22,7,371.36,328.64,31.8,88.5
FieldSize,Albion Park,1660,Mobile,TROTTERS,4,B/LEAD,1,0,10.53,-10.53,0.0,-100.0
FieldSize,Albion Park,1660,Mobile,TROTTERS,5,B/LEAD,10,2,235.68,-35.68,20.0,-15.1
FieldSize,Albion Park,1660,Mobile,TROTTERS,6,B/LEAD,14,3,279.27,20.73,21.4,7.4
FieldSize,Albion Park,1660,Mobile,TROTTERS,7,B/LEAD,11,0,203.53,-203.53,0.0,-100.0
FieldSize,Albion Park,1660,Mobile,TROTTERS,8,B/LEAD,21,5,322.02,177.98,23.8,55.3
FieldSize,Albion Park,1660,Mobile,TROTTERS,9,B/LEAD,13,0,167.65,-167.65,0.0,-100.0
FieldSize,Albion Park,1660,Mobile,TROTTERS,10,DEATH,22,4,529.78,-129.78,18.2,-24.5
FieldSize,Albion Park,1660,Mobile,TROTTERS,5,DEATH,1,0,8.33,-8.33,0.0,-100.0
FieldSize,Albion Park,1660,Mobile,TROTTERS,6,DEATH,9,4,259.51,140.49,44.4,54.1
FieldSize,Albion Park,1660,Mobile,TROTTERS,7,DEATH,9,0,212.0,-212.0,0.0,-100.0
FieldSize,Albion Park,1660,Mobile,TROTTERS,8,DEATH,22,2,423.32,-223.32,9.1,-52.8
FieldSize,Albion Park,1660,Mobile,TROTTERS,9,DEATH,12,1,217.9,-117.9,8.3,-54.1
FieldSize,Albion Park,1660,Mobile,TROTTERS,10,LEAD,22,8,479.99,320.01,36.4,66.7
FieldSize,Albion Park,1660,Mobile,TROTTERS,4,LEAD,1,1,26.32,73.68,100.0,279.9
FieldSize,Albion Park,1660,Mobile,TROTTERS,5,LEAD,10,6,533.88,66.12,60.0,12.4
FieldSize,Albion Park,1660,Mobile,TROTTERS,6,LEAD,14,5,386.93,113.07,35.7,29.2
FieldSize,Albion Park,1660,Mobile,TROTTERS,7,LEAD,11,10,406.08,593.92,90.9,146.3
FieldSize,Albion Park,1660,Mobile,TROTTERS,8,LEAD,21,4,795.58,-395.58,19.0,-49.7
FieldSize,Albion Park,1660,Mobile,TROTTERS,9,LEAD,13,7,356.69,343.31,53.8,96.2
FieldSize,Albion Park,2138,Mobile,PACERS,10,B/LEAD,249,45,3856.29,643.71,18.1,16.7
FieldSize,Albion Park,2138,Mobile,PACERS,11,B/LEAD,245,27,3334.81,-634.81,11.0,-19.0
FieldSize,Albion Park,2138,Mobile,PACERS,12,B/LEAD,416,64,5507.63,892.37,15.4,16.2
FieldSize,Albion Park,2138,Mobile,PACERS,4,B/LEAD,1,0,23.81,-23.81,0.0,-100.0
FieldSize,Albion Park,2138,Mobile,PACERS,5,B/LEAD,15,2,236.99,-36.99,13.3,-15.6
FieldSize,Albion Park,2138,Mobile,PACERS,6,B/LEAD,67,16,1237.87,362.13,23.9,29.3
FieldSize,Albion Park,2138,Mobile,PACERS,7,B/LEAD,124,11,1910.1,-810.1,8.9,-42.4
FieldSize,Albion Park,2138,Mobile,PACERS,8,B/LEAD,230,36,3583.48,16.52,15.7,0.5
FieldSize,Albion Park,2138,Mobile,PACERS,9,B/LEAD,274,37,3970.12,-270.12,13.5,-6.8
FieldSize,Albion Park,2138,Mobile,PACERS,10,DEATH,254,23,4081.31,-1781.31,9.1,-43.6
