PublishedAt,RunnerAnchor,RaceAnchorFull,Race Anchor,Date,Venue,Race No,Race Name,Horse,Barrier,Driver,Trainer,ModelRating,Rating,Fair %,Fair Odds,Fair Odds (100),RaceOverround
2026-02-20 12:41:45,AP200226_R1_TINTINS TREASURE,AP200226_R1,AP200226,2026-02-20,Albion Park,1,LADBROKES ULTIMATE DRIVER HEAT 1 (NR50-56),TINTINS TREASURE,FR1,Robert Morris,D J Rodger,95.0,77,6.02686666958525,16.592369714208672,20.740462142760844,124.99999999999999
2026-02-20 12:41:45,AP200226_R1_MERGE RIGHT,AP200226_R1,AP200226,2026-02-20,Albion Park,1,LADBROKES ULTIMATE DRIVER HEAT 1 (NR50-56),MERGE RIGHT,FR2,Trista Dixon,P J Greig,91.0,69,0.7483154092448946,133.63349032316114,167.04186290395145,124.99999999999999
2026-02-20 12:41:45,AP200226_R1_FLO RYDA NZ,AP200226_R1,AP200226,2026-02-20,Albion Park,1,LADBROKES ULTIMATE DRIVER HEAT 1 (NR50-56),FLO RYDA NZ,FR3,Cameron Hart,T D Williams,97.0,85,19.44378553353133,5.143031423975919,6.428789279969899,124.99999999999999
2026-02-20 12:41:45,AP200226_R1_ONE LAST ROLL,AP200226_R1,AP200226,2026-02-20,Albion Park,1,LADBROKES ULTIMATE DRIVER HEAT 1 (NR50-56),ONE LAST ROLL,FR4,James MacDonald,M N Clayton,93.0,76,1.8471872616041551,54.13636293331564,67.67045366664455,124.99999999999999
2026-02-20 12:41:45,AP200226_R1_EPIC ERNIE,AP200226_R1,AP200226,2026-02-20,Albion Park,1,LADBROKES ULTIMATE DRIVER HEAT 1 (NR50-56),EPIC ERNIE,FR5,Pete McMullen,J J Hutchinson,96.0,98,9.687144174283846,10.322959811568287,12.90369976446036,124.99999999999999
2026-02-20 12:41:45,AP200226_R1_QUIK CHANGE,AP200226_R1,AP200226,2026-02-20,Albion Park,1,LADBROKES ULTIMATE DRIVER HEAT 1 (NR50-56),QUIK CHANGE,FR6,Luke McCarthy,G F Dwyer,98.0,95,25.7140967417137,3.8889174682841907,4.861146835355239,124.99999999999999
2026-02-20 12:41:45,AP200226_R1_STORMTIDE,AP200226_R1,AP200226,2026-02-20,Albion Park,1,LADBROKES ULTIMATE DRIVER HEAT 1 (NR50-56),STORMTIDE,SR1,Zachary Butcher,T D Williams,94.0,87,4.729029269338528,21.145988807548125,26.432486009435156,124.99999999999999
2026-02-20 12:41:45,AP200226_R1_JEKAMIAS NZ,AP200226_R1,AP200226,2026-02-20,Albion Park,1,LADBROKES ULTIMATE DRIVER HEAT 1 (NR50-56),JEKAMIAS NZ,SR2,Gary Hall Jnr,L J Weidemann,100.0,92,55.10470407358127,1.8147271032699872,2.2684088790874837,124.99999999999999
2026-02-20 12:41:45,AP200226_R1_CHAMONIX,AP200226_R1,AP200226,2026-02-20,Albion Park,1,LADBROKES ULTIMATE DRIVER HEAT 1 (NR50-56),CHAMONIX,SR3,James Herbertson,G W Dixon,92.0,85,1.698870867117024,58.86262572134134,73.57828215167667,124.99999999999999
2026-02-20 12:41:45,AP200226_R2_LA SABINA NZ,AP200226_R2,AP200226,2026-02-20,Albion Park,2,LADBROKES ULTIMATE DRIVER HEAT 2 (NR45-50),LA SABINA NZ,FR1,Trista Dixon,D J Rodger,93.0,86,7.206792623589333,13.875798184157427,17.344747730196783,125.00000000000001
2026-02-20 12:41:45,AP200226_R2_THE HARRIS HAWK,AP200226_R2,AP200226,2026-02-20,Albion Park,2,LADBROKES ULTIMATE DRIVER HEAT 2 (NR45-50),THE HARRIS HAWK,FR2,Pete McMullen,M J Nutley,98.0,86,18.619569279909136,5.370693515875358,6.713366894844197,125.00000000000001
2026-02-20 12:41:45,AP200226_R2_BRACKEN WARRIOR,AP200226_R2,AP200226,2026-02-20,Albion Park,2,LADBROKES ULTIMATE DRIVER HEAT 2 (NR45-50),BRACKEN WARRIOR,FR3,Gary Hall Jnr,M R Gillies,100.0,94,26.201698005735842,3.8165465451173772,4.770683181396722,125.00000000000001
2026-02-20 12:41:45,AP200226_R2_BURNS BAY,AP200226_R2,AP200226,2026-02-20,Albion Park,2,LADBROKES ULTIMATE DRIVER HEAT 2 (NR45-50),BURNS BAY,FR4,Robert Morris,A S Cargill,94.0,79,7.780672195576479,12.85235998720685,16.065449984008563,125.00000000000001
2026-02-20 12:41:45,AP200226_R2_DOOO DONT THINK,AP200226_R2,AP200226,2026-02-20,Albion Park,2,LADBROKES ULTIMATE DRIVER HEAT 2 (NR45-50),DOOO DONT THINK,FR5,James Herbertson,J J Hutchinson,96.0,84,10.861971894242105,9.206431481654787,11.508039352068483,125.00000000000001
2026-02-20 12:41:45,AP200226_R2_MARTIN MAGIC,AP200226_R2,AP200226,2026-02-20,Albion Park,2,LADBROKES ULTIMATE DRIVER HEAT 2 (NR45-50),MARTIN MAGIC,FR6,James MacDonald,M J Elkins,91.0,67,3.1389087345413857,31.858205655861678,39.8227570698271,125.00000000000001
2026-02-20 12:41:45,AP200226_R2_LITTLE HOOFANANNY NZ,AP200226_R2,AP200226,2026-02-20,Albion Park,2,LADBROKES ULTIMATE DRIVER HEAT 2 (NR45-50),LITTLE HOOFANANNY NZ,FR7,Cameron Hart,G W Dixon,92.0,91,4.77477838358772,20.943380397240762,26.179225496550956,125.00000000000001
2026-02-20 12:41:45,AP200226_R2_MACS A DUDE,AP200226_R2,AP200226,2026-02-20,Albion Park,2,LADBROKES ULTIMATE DRIVER HEAT 2 (NR45-50),MACS A DUDE,SR1,Zachary Butcher,R J Sallis,99.0,92,19.59164919843773,5.104215525050039,6.380269406312549,125.00000000000001
2026-02-20 12:41:45,AP200226_R2_BRIAN CHRISTOPHER NZ,AP200226_R2,AP200226,2026-02-20,Albion Park,2,LADBROKES ULTIMATE DRIVER HEAT 2 (NR45-50),BRIAN CHRISTOPHER NZ,SR2,Angus Garrard,D J Rodger,97.0,89,16.39015348745702,6.1012241329239245,7.6265301661549065,125.00000000000001
2026-02-20 12:41:45,AP200226_R2_STUDLEIGH MARK,AP200226_R2,AP200226,2026-02-20,Albion Park,2,LADBROKES ULTIMATE DRIVER HEAT 2 (NR45-50),STUDLEIGH MARK,SR3,Luke McCarthy,J N McMullen,95.0,100,10.433806196923273,9.584230156535595,11.980287695669494,125.00000000000001
2026-02-20 12:41:45,AP200226_R3_LOOKIN GOOD MARGIE,AP200226_R3,AP200226,2026-02-20,Albion Park,3,LADBROKES ULTIMATE DRIVER HEAT 3 (NR50-56),LOOKIN GOOD MARGIE,FR1,James MacDonald,T D Williams,91.0,81,0.6202203292118318,161.23302524939604,201.54128156174505,125.0
2026-02-20 12:41:45,AP200226_R3_SON OF THE SHARK,AP200226_R3,AP200226,2026-02-20,Albion Park,3,LADBROKES ULTIMATE DRIVER HEAT 3 (NR50-56),SON OF THE SHARK,FR2,Robert Morris,R C Thurlow,97.0,83,16.213524558759744,6.167690414110028,7.709613017637535,125.0
2026-02-20 12:41:45,AP200226_R3_BETTOR CHEER NZ,AP200226_R3,AP200226,2026-02-20,Albion Park,3,LADBROKES ULTIMATE DRIVER HEAT 3 (NR50-56),BETTOR CHEER NZ,FR3,Pete McMullen,A D Gorman,96.0,87,7.975959901988289,12.53767586959301,15.672094836991263,125.0
