Race Anchor,RaceAnchorFull,RunnerAnchor,Venue,State,Date,MeetingTime,Race No,Time,SydneyTime,RaceStartUTC,VenueTZ,RaceStartLocalDT,Horse No,Horse,Driver,Barrier,Horse Qty,Ld %,Dth %,Br ROI %,Dr L/100 ROI %,Tr L/100 ROI %,Fair Odds,Fair %,RaceOverround,UnicornTier,quality_score,cond_br,cond_l100,cond_odds
PP150726,PP150726_R2,PP150726_R2_FEEL THE MOMENT,Port Pirie,SA,2026-07-15,Day,2,12:58 PM,1:28 PM,2026-07-15T03:28:00Z,Australia/Adelaide,2026-07-15 12:58:00,2,FEEL THE MOMENT,Wayne Hill,FT Fr2,39,30.8,10.3,0.0,-19.94,-28.23,1.2084718108109085,82.74913746883183,125.0,Tier 2 🦄🦄,2,True,False,True
BY170726,BY170726_R6,BY170726_R6_WRITE RITE RIGHT,Bunbury,WA,2026-07-17,Night,6,8:10 PM,10:10 PM,2026-07-17T12:10:00Z,Australia/Perth,2026-07-17 20:10:00,4,WRITE RITE RIGHT,Aaron Suvaljko,Fr4,21,28.6,4.8,-14.68,1.35,-20.15,4.5550875522596925,21.953474846030545,125.0,Tier 2 🦄🦄,2,False,True,True
PP150726,PP150726_R5,PP150726_R5_OAKLANDER,Port Pirie,SA,2026-07-15,Day,5,2:43 PM,3:13 PM,2026-07-15T05:13:00Z,Australia/Adelaide,2026-07-15 14:43:00,2,OAKLANDER,Wayne Hill,Fr2,25,20.0,0.0,-14.17,-19.94,-8.08,1.0665548237744906,93.75983097249927,125.0,Tier 1 🦄,1,False,False,True
KI160726,KI160726_R9,KI160726_R9_WAITING FOR ANNA,Kilmore,VIC,2026-07-16,Night,9,9:00 PM,9:00 PM,2026-07-16T11:00:00Z,Australia/Sydney,2026-07-16 21:00:00,6,WAITING FOR ANNA,Chris Alford,Fr6,11,18.2,9.1,-39.52,-10.64,-33.36,1.135704043912311,88.0511085049206,124.99999999999996,Tier 1 🦄,1,False,False,True
BY170726,BY170726_R2,BY170726_R2_LAST KING OF CAPEL,Bunbury,WA,2026-07-17,Night,2,6:04 PM,8:04 PM,2026-07-17T10:04:00Z,Australia/Perth,2026-07-17 18:04:00,6,LAST KING OF CAPEL,Aaron Suvaljko,Fr6,20,20.0,5.0,-16.82,1.35,-20.15,9.795676642321736,10.20858524136607,125.0,Tier 1 🦄,1,False,True,False
MX180726,MX180726_R8,MX180726_R8_SEBS GAL,Melton,VIC,2026-07-18,Night,8,9:27 PM,9:27 PM,2026-07-18T11:27:00Z,Australia/Sydney,2026-07-18 21:27:00,2,SEBS GAL,Tasmyn Potter,Fr2,9,22.2,11.1,-13.06,2.61,-22.32,13.409158771713097,7.457589376221878,124.99999999999996,Tier 1 🦄,1,False,True,False
BH150726,BH150726_R2,BH150726_R2_PRINCE OF PEACE,Bathurst,NSW,2026-07-15,Night,2,5:41 PM,5:41 PM,2026-07-15T07:41:00Z,Australia/Sydney,2026-07-15 17:41:00,7,PRINCE OF PEACE,Jake Bigeni,Fr7,105,20.0,11.4,-15.48,3.72,-63.94,15.10579782523332,6.619974737974849,125.0,Tier 1 🦄,1,False,True,False
ML170726,ML170726_R6,ML170726_R6_LOSEASHOE,Mildura,VIC,2026-07-17,Day,6,4:23 PM,4:23 PM,2026-07-17T06:23:00Z,Australia/Sydney,2026-07-17 16:23:00,1,LOSEASHOE,Luke Dunne,Fr1,41,19.5,24.4,-24.79,26.76,-16.75,24.90873127042627,4.014656503951623,125.0,Tier 1 🦄,1,False,True,False
PP150726,PP150726_R1,PP150726_R1_BLISSFULL RED,Port Pirie,SA,2026-07-15,Day,1,12:23 PM,12:53 PM,2026-07-15T02:53:00Z,Australia/Adelaide,2026-07-15 12:23:00,6,BLISSFULL RED,Corey Johnson,Fr6,11,18.2,9.1,-1.24,-23.16,-100.0,25.49360743570951,3.92255196727975,125.0,Tier 1 🦄,1,True,False,False
RE170726,RE170726_R9,RE170726_R9_STONES,Redcliffe,QLD,2026-07-17,Night,9,10:06 PM,10:06 PM,2026-07-17T12:06:00Z,Australia/Brisbane,2026-07-17 22:06:00,4,STONES,,Fr4,73,15.1,6.8,-8.79,0.0,-100.0,27.802304330913465,3.5968241628378155,125.0,Tier 1 🦄,1,True,False,False
